Местность,Артиллерия,Саперы,Морские,Жандармы,Инженерный_корпус,Итого_в_отпуску,Основные_занятия
Красноярск,0,0,0,0,0,20,"Крестьянские работы 16, сапожное 1, плотничное 1, сторожа 2"
Красноярский округ,1,0,0,0,0,25,"Хлебопашество 8, служба 6, сапожное 2, крестьянские работы 6, нет 1, неявка 2"
Енисейск,0,0,0,0,0,11,"Кузнечное 2, слесарное 1, сапожное 1, крестьянские работы 4, родственники 3"
Енисейский округ,2,0,1,0,0,29,"Хлебопашество 2, крестьянские работы 27"
Канск,0,0,0,0,0,0,Нет данных
Канский округ,1,0,0,0,0,12,"Сапожное 1, хлебопашество 9, отставка 2"
Минусинск,0,0,0,0,0,1,Сапожное 1
Минусинский округ,0,0,0,0,0,13,"Хлебопашество 6, родственники 7"
Ачинск,0,0,0,0,0,0,Нет данных
Ачинский округ,1,1,1,0,0,31,"Крестьянские работы 23, неявка 8"
