Статья,Красноярск (руб),Красноярск (коп),Енисейск (руб),Енисейск (коп)
"Податей, оброчных и всех вообще окладных сборов",32114,17 4/7,24289,28 1/14
С купеческих капиталов,0,-,0,-
С оброчных статей и рыбных ловель,57,14 2/7,98,35 5/7
Чистой прибыли от развозки и продажи соли,23142,11 2/7,8627,84 4/14
Чистой прибыли от выкуриваемого вина,29971,19 6/7,5525,84 6/7
Арендных,0,-,0,-
От продажи гербовой бумаги,16308,15,2013,30
Пошлин с паспортов,1015,45,607,35
Пошлин с выдаваемых крестьянам на право торговли свидетельств,3940,-,793,-
Подорожного сбора,9047,28,402,14 7/14
Почтового,15251,24 4/7,0,-
Таможенного,0,-,0,-
"Разных сборов (купчих крепостей, штрафов, провозных и т.п.)",28708,58 4/7,314,68 1/7
Откупной суммы,108571,42 5/7,33406,20 5/7
Ясачного сбора: деньгами,1110,65 2/7,3042,63 5/7
Ясачного сбора: звериными шкурами по цене,0,-,3652,25
От горных заводов,0,-,0,-
От взыскания ссуды по поселениям,0,-,0,-
Итого доходов,269237,42 5/7,82772,90 1/14
"Расходы: На духовенство, монастыри, консистории и духовные училища",495,30,1865,50
Расходы: На содержание управлений (Гражданского),72933,70,11810,43 5/7
Расходы: На содержание управлений (Горного и соляных дел),3260,88 4/7,765,30 2/7
Расходы: На содержание управлений (Почтового),3124,44,1702,72
Расходы: На содержание управлений (Медицинского),0,-,0,-
Расходы: Расходов пограничных и таможенных,1524,27,1524,35
Расходы: На учебные заведения,27500,-,0,-
Расходы: На содержание войск и воинских училищ,0,-,0,-
Расходы: На содержание портов,8571,42,350,70
Расходы: Экстраординарных расходов,0,-,0,-
