Статья,Минусинск (руб),Минусинск (коп),Ачинск (руб),Ачинск (коп),Канск (руб),Канск (коп),Итого (руб),Итого (коп)
"Податей, оброчных и всех вообще окладных сборов",35434,91 4/7,37284,94 1/14,39868,61 4/7,168991,94
С купеческих капиталов,0,-,0,-,0,-,0,-
С оброчных статей и рыбных ловель,0,-,21,42 4/7,0,-,176,92 6/7
Чистой прибыли от развозки и продажи соли,13089,36 3/7,8782,74 4/7,13579,81 2/7,67221,87 1/14
Чистой прибыли от выкуриваемого вина,6285,71 2/7,16046,71 2/7,4960,57 4/7,62790,4 4/7
Арендных,0,-,0,-,0,-,0,-
От продажи гербовой бумаги,713,35,873,97 4/7,928,43 4/7,20837,20 5/7
Пошлин с паспортов,214,60,550,15,454,82 4/7,2842,37 4/7
Пошлин с выдаваемых крестьянам на право торговли свидетельств,1435,-,1603,2,3358,71 4/7,11129,73 4/7
Подорожного сбора,361,5,538,94,469,90 4/7,10819,31 1/14
Почтового,0,-,0,-,0,-,15251,24 4/7
Таможенного,0,-,0,-,0,-,0,-
"Разных сборов (купчих крепостей, штрафов, провозных и т.п.)",0,-,0,-,0,-,0,-
Откупной суммы,1974,11 1/14,7764,38 2/7,7142,8 1/7,45903,85 1/14
Ясачного сбора: деньгами,45714,28 4/7,57404,76 4/7,64511,49 4/7,309608,18 4/7
Ясачного сбора: звериными шкурами по цене,7812,12 4/7,3577,64 4/7,139,71 4/7,15682,77 4/7
От горных заводов,0,-,0,-,144,28 4/7,3796,53 4/7
От взыскания ссуды по поселениям,0,-,0,-,0,-,0,-
Итого доходов,0,-,0,-,0,-,0,-
"Расходы: На духовенство, монастыри, консистории и духовные училища",113034,52 1/14,134448,70 1/14,135558,44 4/7,735052,1 4/7
Расходы: На содержание управлений (Гражданского),0,-,62,60,109,17,2496,57
Расходы: На содержание управлений (Горного и соляных дел),10978,44 1/14,8446,54 4/7,8206,29,112375,41 1/14
Расходы: На содержание управлений (Почтового),1792,77 4/7,765,30 2/7,30057,68 4/7,36635,95 4/7
Расходы: На содержание управлений (Медицинского),0,-,0,-,0,-,0,-
Расходы: Расходов пограничных и таможенных,414,92 2/7,407,58,464,19,6113,85 4/7
Расходы: На учебные заведения,0,-,0,-,0,-,0,-
Расходы: На содержание войск и воинских училищ,0,-,0,-,0,-,3048,62
Расходы: На содержание портов,0,-,0,-,0,-,27500,-
Расходы: Экстраординарных расходов,0,-,0,-,0,-,8924,12
