Учреждение / Подразделение,Оставалось к 1841 г. (Дел),Оставалось к 1841 г. (Вход. бумаг),Решено в течение 1841 г. (Дел),Решено в течение 1841 г. (Вход. бумаг),Поступило бумаг (сведений и срочных донесений),Планов и чертежей (Составлено),Планов и чертежей (Получено),Осталось к 1842 г. (Дел),Осталось к 1842 г. (Вход. бумаг)
Врачебная управа,1.0,35.0,170.0,630.0,349.0,,,1.0,5.0
Губернский прокурор и стряпчие,,115.0,,1876.0,904.0,,,,22.0
Губернский землемер,44.0,14.0,17.0,195.0,71.0,52.0,5.0,35.0,12.0
Губернский архитектор,81.0,,195.0,700.0,389.0,15.0,70.0,128.0,9.0
Итого по Губернскому управлению,1774.0,716.0,9078.0,34571.0,23561.0,1021.0,5331.0,1712.0,547.0
Красноярск: Общее окружное (Губ. правл.),,,,,,,,,
Красноярск: Общее окружное (Каз. палата),,,,,,,,,
Красноярск: Общее окружное (Губ. суд),,,,,,,,,
Красноярск: Общее окружное (Особенные),,,,,,,,,
Красноярск: Городовая управа,57.0,60.0,207.0,650.0,1200.0,,,40.0,60.0
Красноярск: Городовой суд (Гражданских),23.0,,1.0,66.0,13.0,,,26.0,2.0
Красноярск: Городовой суд (Уголовных),,,,,,,,,
Красноярск: Градская дума,,17.0,,283.0,117.0,,,,
Красноярск: Сиротский суд,6.0,5.0,19.0,180.0,40.0,,,,
Итого по Красноярскому округу (город),86.0,82.0,227.0,1719.0,1370.0,,,66.0,62.0
Красноярск (уезд): Окружной суд (Гражд.),13.0,,15.0,,,,,10.0,
Красноярск (уезд): Окружной суд (Угол.),26.0,,254.0,,,,,4.0,
Красноярск (уезд): Земский суд,358.0,90.0,510.0,5917.0,4124.0,,,87.0,100.0
Красноярск (уезд): Казначейство,,39.0,,3012.0,1989.0,,,1.0,45.0
Красноярск (уезд): Окружной стряпчий,,39.0,,1023.0,167.0,,,,19.0
