Категория,Красноярск,Енисейск,Ачинск,Канск,Минусинск
Купцы 1-й гильдии (М),10.0,1.0,0.0,3.0,0.0
Купцы 1-й гильдии (Ж),7.0,3.0,0.0,2.0,0.0
Купцы 2-й гильдии (М),10.0,1.0,2.0,10.0,2.0
Купцы 2-й гильдии (Ж),10.0,1.0,4.0,4.0,3.0
Купцы 3-й гильдии (М),59.0,51.0,7.0,28.0,16.0
Купцы 3-й гильдии (Ж),42.0,44.0,11.0,17.0,13.0
Мещане и цеховые (М),1232.0,2146.0,800.0,515.0,675.0
Мещане и цеховые (Ж),1105.0,2484.0,821.0,538.0,632.0
Крестьяне (М),35.0,0.0,0.0,51.0,0.0
Крестьяне (Ж),40.0,0.0,0.0,50.0,0.0
Инородцы (М),0.0,0.0,0.0,0.0,0.0
Инородцы (Ж),0.0,0.0,0.0,0.0,0.0
Ссыльные (М),220.0,32.0,51.0,14.0,10.0
Ссыльные (Ж),75.0,33.0,22.0,2.0,2.0
Дворовые люди (М),40.0,17.0,0.0,5.0,0.0
Дворовые люди (Ж),30.0,10.0,0.0,4.0,0.0
Христиане греческого исповедания,5020.0,5984.0,2001.0,1421.0,1656.0
Христиане католического,183.0,25.0,13.0,94.0,25.0
Христиане лютеранского,25.0,32.0,2.0,14.0,2.0
Христиане прочих,41.0,0.0,0.0,0.0,7.0
Иудеи,318.0,49.0,49.0,87.0,34.0
Магометане,0.0,0.0,0.0,0.0,0.0
Ламской веры,0.0,0.0,0.0,0.0,0.0
Другие язычники,0.0,0.0,0.0,0.0,0.0
Все жители (М),3382.0,3027.0,1091.0,861.0,924.0
Все жители (Ж),2205.0,3063.0,974.0,755.0,800.0
Купеческие капиталы 1-й гильдии,3.0,1.0,0.0,1.0,0.0
Купеческие капиталы 2-й гильдии,4.0,1.0,2.0,3.0,1.0
Купеческие капиталы 3-й гильдии,16.0,23.0,4.0,12.0,9.0
Сумма всех объявленных капиталов,107400.0,76200.0,39600.0,61800.0,27600.0
Судов на пристани,0.0,8.0,0.0,0.0,0.0
Судов жителям принадлежащих,0.0,8.0,0.0,0.0,0.0
Городовые доходы,6013.65,5042.27,2648.63,2070.14,1203.89
