Статья дохода,Красноярск,Енисейск,Ачинск,Минусинск,Канск,Туруханск
I.1 с мыз,0.0,0.0,0.0,0.0,0.0,0.0
I.2 с домов,20.71,85.71,0.0,0.0,0.0,0.0
I.3 с лавок,309.43,1594.19,369.37,369.37,0.0,42.85
I.4 с винных погребов,0.0,0.0,0.0,0.0,0.0,0.0
I.5 за наем лугов,924.98,1731.49,218.78,0.0,285.71,0.0
I.6 с рыбных ловель,90.71,50.85,124.43,0.0,0.0,0.0
I.7 с водяных мельниц,0.0,0.0,0.0,0.0,0.0,0.0
I. Итого,1345.84,3462.25,648.92,369.37,285.71,42.85
II.1 за записку иностранных гостей,114.28,0.0,0.0,11.43,0.0,0.0
II.2 за наем городских мест к усевелению,2.85,0.0,0.0,0.0,0.0,0.0
II.3 за яромошные шалаши,0.0,0.0,0.0,0.0,0.0,0.0
II.4 с особенных доходов обывателей,0.0,0.0,0.0,0.0,0.0,0.0
II.5 с мельниц и толчей частных людей,39.85,0.0,0.0,0.0,0.0,0.0
II.6 гербергов с гостиницы и трактира,71.43,0.0,0.0,0.0,0.0,0.0
II.7 с протестов векселей и маклерским свидетельствам,693.57,201.58,59.61,42.77,160.07,0.0
II.8 с проходящих чрез город возов и сбор с судов,0.0,358.28,984.32,0.0,0.0,0.0
II.9 с данных за отводимые места под постройку домов,69.19,0.0,0.0,0.0,10.67,0.0
