Статья расходов,Красноярск,Енисейск,Ачинск,Минусинск,Канск,Туруханск
"4. Исправление зданий, будок, шлагбаумов",190.95,446.71,165.92,440.93,34.28,0.0
5-6. Наем перевозчиков и поправка судов,1112.08,142.85,337.42,0.0,651.14,0.0
7. Тулупы и кенги для часовых,85.25,43.3,84.0,131.42,46.85,0.0
8. Жалование караульным,0.0,205.71,0.0,35.71,0.0,0.0
"9. Поправка мостов, площадей",0.0,0.0,0.0,0.0,0.0,0.0
10. Маклерские и нотар. книги,0.0,0.0,0.0,0.0,0.0,0.0
11. Содержание прорубей,37.14,11.42,0.0,0.0,0.0,0.0
12. Отапливание/освещение богадельни,0.0,0.0,37.48,0.0,0.0,0.0
13. Отапливание/освещение больницы,0.0,0.0,222.57,0.0,54.28,0.0
14. Губернская библиотека,57.14,0.0,0.0,0.0,0.0,0.0
"15. Рекруты, провиант, колокола",0.0,0.0,0.0,0.0,0.0,0.0
Итого (по доп. статьям),2189.56,1388.36,1326.67,608.81,1061.57,0.0
Всего (по повинностям),5038.95,4795.83,2651.97,1272.68,1683.75,69.42
