Показатель,Красноярский,Енисейский,Ачинский,Минусинский,Канский,Итого
Заводы: Винокуренные,0.0,1,0,0,1,2.0
Заводы: Суконные,0.0,0,0,0,0,0.0
Заводы: Солеваренные,0.0,0,0,0,1,1.0
Заводы: Железные,0.0,0,0,0,1,1.0
Заводы: Чугунные,0.0,0,0,0,0,0.0
Заводы: Кожевенные,18.0,0,2,0,0,20.0
Заводы: Мыловаренные,1.0,0,0,0,0,1.0
Заводы: Салотопенные,0.0,0,0,0,0,0.0
Заводы: Стеклянные,1.0,0,0,0,0,1.0
Заводы: Бумажные,0.0,0,1,0,0,1.0
Заводы: Полотняные,0.0,0,0,0,0,0.0
Мельницы: Паровые,0.0,0,0,0,0,0.0
Мельницы: Водяные,256.0,300,322,229,161,1268.0
Мельницы: Ветряные,5.0,2,7,0,2,16.0
Кузницы,64.0,73,47,48,103,335.0
Питейные дома,24.0,29,15,14,18,100.0
Магазины: Хлебные (каз),4.0,49,2,2,4,61.0
Магазины: Хлебные (сель),60.0,69,18,33,87,267.0
Магазины: Соляные (каз),0.0,3,0,2,7,12.0
Магазины: Соляные (част),0.0,0,0,0,0,0.0
Магазины: Винные,0.0,9,2,2,2,15.0
Пристани (число),7.0,1,1,0,0,9.0
Судов (купеч. кладь),0.0,12,0,0,0,12.0
Барок (с хлебом),4.0,0,5,0,0,9.0
Ярмарки,0.0,0,0,0,1,1.0
Почтовые станции,10.0,8,10,7,12,47.0
Почтовые лошади,49.0,48,66,28,72,263.0
Протяжение дорог (верст),282.5,170,185,171,286,1094.5
