Категория,Красноярский,Енисейский,Ачинский,Минусинский,Канский,Итого
Мостов (на дорогах),78,52,103,43,56,332
Гатей (на дорогах),74,158,198,20,132,592
Перевозов (на дорогах),1,5,6,7,1,30
Дворяне и др. (муж),552,809,308,1303,574,3546
Дворяне и др. (жен),249,431,260,1361,276,2587
Крестьяне (муж),16182,13561,10254,9686,13064,62747
Крестьяне (жен),14874,14120,10668,9684,11886,61232
Инородцы оседлые (муж),245,24,436,199,0,904
Инородцы оседлые (жен),160,27,453,163,0,803
Инородцы кочевые (муж),0,16,2834,9640,108,12498
Инородцы кочевые (жен),0,16,2061,8982,99,11148
Инородцы бродячие (муж),0,4089,0,0,0,4089
Инородцы бродячие (жен),0,3727,0,0,0,3727
Ссыльные каторжные (муж),0,0,0,0,0,1468
Ссыльные каторжные (жен),0,0,0,0,0,1175
Ссыльные поселенные (муж),0,0,0,0,0,28653
Ссыльные поселенные (жен),0,0,0,0,0,17258
