Вероисповедание,Красноярский,Енисейский,Ачинский,Минусинский,Канский,Итого
"Христиане (Греко-росс, муж)",16504,16518,13726,16120,13379,76247
"Христиане (Греко-росс, жен)",15118,16734,13397,15617,12115,27981
"Христиане (Катол, муж)",158,106,20,21,200,505
"Христиане (Катол, жен)",20,2,3,9,17,51
"Христиане (Лют, муж)",10,30,1,2,24,67
"Христиане (Лют, жен)",3,2,1,0,7,13
"Христиане (Прочие, муж)",70,0,0,0,0,70
"Христиане (Прочие, жен)",4,0,0,0,0,4
Иудеи (муж),127,190,45,40,125,527
Иудеи (жен),111,101,32,22,121,387
Магометане (муж),65,16,36,116,18,251
Магометане (жен),12,0,7,21,1,41
Ламской веры (муж),0,0,0,0,0,0
Ламской веры (жен),0,0,0,0,0,0
Язычники (муж),45,1641,4,4429,0,6119
Язычники (жен),15,1473,2,4621,0,6111
Всего жителей (муж),0,0,0,0,0,113907
Всего жителей (жен),0,0,0,0,0,98030
Войска и команды,392,140,180,135,106,953
