Волость,Число душ,Класс,На все повинности (руб),На все повинности (коп),С каждой души (руб),С каждой души (коп),Волостному голове (руб),Волостному голове (коп),Писарям (руб),Писарям (коп)
Нахвальская,2714,3,2070,39,0,76,8,57,171,42
Сухобузимская,2557,3,1950,62,0,76,8,57,171,42
Частоостровская,811,2,280,26,1,1,8,57,171,42
Ладейская,3234,3,2467,8,0,76,8,57,171,42
Устюжская,1137,2,1149,98,1,1,8,57,171,42
Подгородная,1982,3,1511,98,0,76,8,57,171,42
Заледеевская,1473,3,1123,68,0,76,8,57,171,42
Погорельская,905,2,915,34,1,1,8,57,171,42
Инородцы,244,3,186,13,0,76,17,14,42,85
Дворовые люди,177,4,90,1,0,50,0,0,0,0
"Сверх того, с мещан г. Красноярска",1169,3,891,78,0,76,0,0,0,0
