Волость,Число душ,Класс,На все повинности (руб),На все повинности (коп),С каждой души (руб),С каждой души (коп),Волостному голове (руб),Волостному голове (коп),Писарям (руб),Писарям (коп),Сторожам (руб),Сторожам (коп),Волостные правления (руб),Волостные правления (коп),Этапные помещения (руб),Этапные помещения (коп),Почтовые помещения (руб),Почтовые помещения (коп),"Строения, магазины, перевоз (руб)","Строения, магазины, перевоз (коп)",Доставка госуд. податей (руб),Доставка госуд. податей (коп),Содержание разных людей (руб),Содержание разных людей (коп),Содержание подвод (руб),Содержание подвод (коп),Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Всего с души (руб),Всего с души (коп),Всего сумма (руб),Всего сумма (коп)
Нахвальская,2714,3,2070,39,0,76,8,57,171,42,14,28,85,71,0,0,0,0,27,78,0,0,0,0,0,0,307,78,0,11,0,87,2378,17
Сухобузимская,2557,3,1950,62,0,76,8,57,171,42,14,28,85,71,0,0,0,0,28,57,0,0,0,0,0,0,308,57,0,12,0,88,2259,19
Частоостровская,811,2,280,26,1,1,8,57,171,42,14,28,71,42,0,0,0,0,94,28,0,0,0,0,0,0,360,0,0,44,1,45,1180,26
Ладейская,3234,3,2467,8,0,76,8,57,171,42,14,28,85,71,0,0,0,0,92,85,0,0,0,0,0,0,372,85,0,11,0,87,2839,93
Устюжская,1137,2,1149,98,1,1,8,57,171,42,14,28,71,42,0,0,0,0,8,57,0,0,0,0,0,0,274,28,0,24,1,25,1424,27
Подгородная,1982,3,1511,98,0,76,8,57,171,42,14,28,71,42,0,0,0,0,22,85,0,0,0,0,0,0,288,57,0,14,0,90,1800,55
Заледеевская,1473,3,1123,68,0,76,8,57,171,42,14,28,71,42,0,0,0,0,7,14,0,0,0,0,0,0,272,85,0,18,0,94,1396,54
Погорельская,905,2,915,34,1,1,8,57,171,42,14,28,71,42,0,0,0,0,17,17,0,0,0,0,0,0,282,88,0,31,1,32,1198,22
Инородцы,244,3,186,13,0,76,17,14,42,85,4,28,25,42,0,0,0,0,2,64,0,0,0,0,0,0,92,36,0,37,1,14,278,49
Дворовые люди,177,4,90,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,90,1
"Сверх того, с мещан г. Красноярска",1169,3,891,78,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,891,78
