Волость,Число душ,Класс,Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Голова (руб),Голова (коп),Писарь (руб),Писарь (коп)
Мещане г. Енисейска,2174.0,2.0,2198,84,1.0,1.0,0.0,0.0,0,0
Мещане г. Туруханска,92.0,5.0,23,13,0.0,25.0,0.0,0.0,0,0
Балахтинская,3195.0,2.0,3231,51,1.0,1.0,8.0,57.0,171,42
Назаровская,2624.0,3.0,2001,73,0.0,76.0,8.0,57.0,171,42
Ужурская,2033.0,2.0,2056,23,1.0,1.0,8.0,57.0,171,42
Чернореченская,2321.0,4.0,1180,39,0.0,50.0,8.0,57.0,171,42
Инородцы (Кызыльская степная дума),2771.0,5.0,696,70,0.0,25.0,34.0,28.0,314,28
Мелетская отдельная управа,,,696,70,,,,,314,28
Мещане г. Ачинска,786.0,2.0,794,98,1.0,1.0,0.0,0.0,0,0
Тасеевская,1809.0,2.0,1829,67,1.0,1.0,8.0,57.0,171,42
Устьянская,2419.0,3.0,1845,35,0.0,76.0,8.0,57.0,171,42
Рыбинская,2710.0,3.0,2067,34,0.0,76.0,8.0,57.0,171,42
Уринская,1801.0,3.0,1373,90,0.0,76.0,8.0,57.0,171,42
Анцырская,1605.0,5.0,403,54,0.0,25.0,8.0,57.0,171,42
Тинская,1824.0,5.0,458,60,0.0,25.0,8.0,57.0,171,42
Инородцы агульские и угумаковы,123.0,5.0,30,92,0.0,25.0,0.0,0.0,0,0
