Волость,Число душ,Класс,Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Голова (руб),Голова (коп),Писарь (руб),Писарь (коп),Сторожам (руб),Сторожам (коп),Волостные правления (руб),Волостные правления (коп),Этапные помещения (руб),Этапные помещения (коп),Почтовые помещения (руб),Почтовые помещения (коп),"Строения, магазины, перевоз (руб)","Строения, магазины, перевоз (коп)",Доставка госуд. податей (руб),Доставка госуд. податей (коп),Содержание разных людей (руб),Содержание разных людей (коп),Содержание подвод (руб),Содержание подвод (коп),Итого повинности (руб),Итого повинности (коп),С души (руб),С души (коп),Всего с души (руб),Всего с души (коп),Всего сумма (руб),Всего сумма (коп)
Мещане г. Енисейска,2174.0,2.0,2198.0,84.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2198,84
Мещане г. Туруханска,92.0,5.0,23.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,13
Балахтинская,3195.0,2.0,3231.0,51.0,1.0,1.0,8.0,57.0,171.0,42.0,97,14,536,43,0,0,0,0,367,87,0,0,0,0,0,0,2261,44,0,0,0,0,10931,87
Назаровская,2624.0,3.0,2001.0,73.0,0.0,76.0,8.0,57.0,171.0,42.0,14,28,102,85,0,0,0,0,232,85,0,0,0,0,0,0,530,0,0,16,1,17,3761,51
Ужурская,2033.0,2.0,2056.0,23.0,1.0,1.0,8.0,57.0,171.0,42.0,14,28,80,0,94,28,0,0,312,85,0,0,0,0,0,0,681,42,0,25,1,2,2683,16
Чернореченская,2321.0,4.0,1180.0,39.0,0.0,50.0,8.0,57.0,171.0,42.0,14,28,71,42,0,0,0,0,148,57,0,0,0,0,0,0,414,28,0,20,1,21,2470,52
Инородцы (Кызыльская степная дума),2771.0,5.0,696.0,70.0,0.0,25.0,34.0,28.0,314.0,28.0,14,28,65,71,0,0,0,0,210,0,0,0,0,0,0,0,470,0,0,20,0,71,1650,39
Мелетская отдельная управа,,,696.0,70.0,,,,,314.0,28.0,57,14,320,0,94,28,0,0,904,28,0,0,0,0,0,0,2095,71,0,0,0,0,10565,59
Мещане г. Ачинска,786.0,2.0,794.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,30,0,36,28,0,0,0,0,97,90,0,0,0,0,0,0,478,47,0,3,0,28,1175,18
Тасеевская,1809.0,2.0,1829.0,67.0,1.0,1.0,8.0,57.0,171.0,42.0,30,0,36,28,0,0,0,0,97,90,34,28,0,0,0,0,478,47,0,0,0,0,1175,18
Устьянская,2419.0,3.0,1845.0,35.0,0.0,76.0,8.0,57.0,171.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,794,98
Рыбинская,2710.0,3.0,2067.0,34.0,0.0,76.0,8.0,57.0,171.0,42.0,0,0,0,0,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,0,0,794,98
Уринская,1801.0,3.0,1373.0,90.0,0.0,76.0,8.0,57.0,171.0,42.0,87,14,356,28,94,28,0,0,1002,18,0,0,0,0,0,0,2574,18,0,0,0,0,12535,75
Анцырская,1605.0,5.0,403.0,54.0,0.0,25.0,8.0,57.0,171.0,42.0,14,28,74,28,14,0,0,0,254,42,0,0,0,0,0,0,537,0,0,29,1,30,2366,67
Тинская,1824.0,5.0,458.0,60.0,0.0,25.0,8.0,57.0,171.0,42.0,14,28,85,71,0,0,0,0,255,71,0,0,0,0,0,0,535,71,0,22,0,98,2381,64
Инородцы агульские и угумаковы,123.0,5.0,30.0,92.0,0.0,25.0,0.0,0.0,0.0,0.0,14,28,85,71,0,0,0,0,204,71,0,0,0,0,0,0,484,71,0,17,0,94,2552,5
,,,,,,,,,,,14,28,74,28,0,0,0,0,152,85,0,0,0,0,0,0,421,42,0,23,0,99,1795,33
,,,,,,,,,,,14,28,100,0,0,0,0,0,191,42,0,0,0,0,0,0,485,71,0,30,0,55,889,25
,,,,,,,,,,,14,28,100,0,0,0,0,0,211,42,0,0,0,0,0,0,505,71,0,27,0,52,964,32
,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,92
,,,,,,,,,,,85,71,520,0,14,0,0,0,1270,57,0,0,0,0,0,0,2970,28,0,0,0,0,10979,63
