Означение городов и уездов,"Число душ, отправляющих рекрутскую повинность","Число рекрут, в набор поступивших",На одежду по общему указанному положению (руб),На одежду по общему указанному положению (коп),"На доставление рекрут, содержание, сдача, награды (руб)","На доставление рекрут, содержание, сдача, награды (коп)",Итого (руб),Итого (коп),С каждой души (руб),С каждой души (коп)
Красноярск (города),971,5,29,33,45,23,74,57,0,7
Енисейск (города),1902,9,102,68,336,19,438,87,0,22
Ачинск (города),646,3,14,66,83,1,97,68,0,15
Канск (города),377,2,0,0,49,55,49,55,0,13
Минусинск (города),509,3,44,4,101,49,145,49,0,23
Итого (города),4405,22,190,69,615,48,806,17,0,18
Красноярский (округа),13000,65,542,73,889,77,1432,51,0,11
Енисейский (округа),7000,35,396,51,896,11,1292,16,0,18
Ачинский (округа),9000,45,410,72,785,47,1196,19,0,13
Канский (округа),11647,58,484,62,957,42,1441,48,0,12
Минусинский (округа),8000,40,278,70,745,13,1023,84,0,12
Итого (округа),48647,243,2112,27,4273,92,6386,19,0,13
А всего,53052,265,2302,96,4889,41,7192,37,0,13
