Категория,Мужеска,Женска
Оставалось на лицо к 1841 г.,803,370
Поступило (преступники из внутр. губ.),63,23
Поступило (преступники из Тоб. губ.),4,2
Поступило (преступники из Том. губ.),2,0
Поступило (преступники из Ирк. губ.),1,0
Поступило (преступники из Енис. губ.),1,0
Поступило (из ссыльнопоселенцев),7,0
Поступило (пойманных из бегов),124,1
Поступило (в работу до справок),206,9
Поступило (возвращено из-под суда),1,0
Итого убыло (по правит. распоряжению),0,0
Итого убыло (за новые преступления),4,0
Итого убыло (по неспособности к работам),4,0
Итого убыло (отправлено в волости),2,0
Итого убыло (беглые возвращены),252,8
Итого убыло (бежало и не отыскано),115,4
Итого убыло (умерло),17,3
Итого убыло (отправлено к суждению),3,1
Итого убыло (отослано в больницу),1,0
