Категория,III_муж,III_жен,IV_kazen_муж,IV_kazen_жен,IV_star_муж,IV_star_жен,V_муж,V_жен,Total_муж,Total_жен
Оставалось на лицо к 1 января 1841 г.,159,51,5943,3784,13918,3481,5495,1380,25613,8714
Поступило (преступники из внутр. губ.),0,0,190,198,155,12,1,1,355,213
Поступило (из жителей Тобольской),0,0,10,13,6,0,0,0,16,13
Поступило (из жителей Томской),0,0,21,14,22,1,0,0,43,15
Поступило (из жителей Иркутской),0,0,7,1,1,0,0,0,8,1
Поступило (из жителей Енисейской),0,0,2,3,11,0,0,0,13,3
Поступило (из ссыльнокаторжных),0,0,0,0,1,0,0,0,1,0
Поступило (из пойманных из бегов),0,0,330,50,249,8,0,0,594,58
Поступило (итого),159,51,6503,4063,14362,3502,5496,1381,26642,9017
Убыло (по распоряжению правительства),0,0,0,0,1,0,0,0,1,0
Убыло (за новые преступления),0,0,0,0,0,0,0,0,0,0
Убыло (по неспособности к работам),0,0,1,0,1,0,0,0,2,0
Убыло (отправлено в волости),0,0,6,2,4,0,0,0,10,3
Убыло (беглые возвращены),0,0,3,2,11,1,0,0,15,3
Убыло (бежало с мест и не отыскано),0,0,188,60,316,35,21,2,531,97
Убыло (умерло),0,0,63,31,154,30,83,33,302,94
Убыло (итого),0,0,261,95,495,70,104,35,869,200
