Описание перемещения,Количество
Осталось налицо к 1 янв 1842 г. (начальное),113 м / 20 ж
Из старожильских в неспособные (муж),57
Из старожильских на казенные (муж),7
Из старожильских на казенные (жен),1
С казенных к старожильским в неспособные (муж),8
С казенных к старожильским в неспособные (жен),4
Из цеха слуг в старожильские (жен),1
Из цеха слуг в ремесленный дом (жен),1
Из ремесленного дома на казенные (муж),3
Из ремесленного дома к старожилам (муж),1
В ремесленный дом из казенных (жен),4
Итоговое состояние к 1 янв 1842 г.,109 м / 25 ж
