Сословие,I_IV_м,I_IV_ж,IX_II_м,IX_II_ж,II_IV_м,II_IV_ж,Manif_м,Manif_ж,VII_м,VII_ж,VIII_I_м,VIII_I_ж,IV_VII_м,IV_VII_ж,V_IV_м,V_IV_ж,VI_VIII_м,VI_VIII_ж,XI_м,XI_ж
Дьячков,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Причетников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Священническая дочь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Канцелярские служители,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Купцы,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Мещан,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,2,0
Крестьян,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Из казаков,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Из отставных солдат,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Из рядовых солдат,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Из ясачных,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Из тунгусов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Казачьих урядников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ремесленников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
