"Отделение первое. Состояния, не включаемые в ревизию",Красноярской округ - Мужеского пола,Красноярской округ - Женского,Енисейской округ - Мужеского пола,Енисейской округ - Женского
I. Духовенство.,,,,
А. Греко-российское:,,,,
1. Белого,69,70,92,84
Их детей,57,103,48,82
2. Монашествующих,—,—,7,23
Промежуточный итог А,126,173,147,189
Б. Христианское других исповеданий:,,,,
1. Белого,1,—,—,—
Их детей,—,—,—,—
2. Монашествующих,—,—,—,—
Промежуточный итог Б,1,—,—,—
В. Иноверческое:,,,,
1. Магометанского,—,—,—,—
Их детей,—,—,—,—
2. Лам.,—,—,—,—
Итого Духовенство,127,173,147,189
II. Статские чины.,,,,
А. Губернское ведомство:,,,,
"1. Чиновников, членов присутствий",23,16,23,21
Их детей,13,20,21,38
2. Канцелярских чиновников,135,56,15,5
Их детей,19,34,5,8
3. Нижних служителей,27,10,12,4
Их детей,11,8,—,1
Итого Губернское ведомство,228,144,76,77
Б. Почтовое ведомство:,,,,
"1. Чиновников, членов присутствий",3,3,3,1
Их детей,3,7,—,1
2. Канцелярских чиновников,4,—,—,—
Их детей,—,—,—,—
3. Почталионов и прочих нижних служителей,16,7,5,3
Их детей,8,4,3,5
Итого Почтовое ведомство,34,21,11,10
