"Состояния, не включаемые в ревизию (Продолжение)",Ачинской округ - Мужеского пола,Ачинской округ - Женского,Канской округ - Мужеского пола,Канской округ - Женского,Минусинской округ - Мужеского пола,Минусинской округ - Женского,Итого - Мужеского пола,Итого - Женского
I. Духовенство. А. Греко-российское: 1. Белого,37,31,43,47,43,47,284,279
Их детей,27,44,38,56,28,56,198,341
2. Монашествующих,—,—,—,—,—,—,7,23
Итого Греко-российское,64,75,81,103,71,103,489,643
Б. Христианское других исповеданий: 1. Белого,—,—,—,—,—,—,1,—
Их детей,—,—,—,—,—,—,—,—
2. Монашествующих,—,—,—,—,—,—,—,—
Итого других исповед.,—,—,—,—,—,—,1,—
В. Иноверческое: 1. Магометанского,—,—,—,—,—,—,—,—
Их детей,—,—,—,—,—,—,—,—
2. Лам.,—,—,—,—,—,—,—,—
Итого Духовенство,64,75,81,103,71,103,490,643
"II. Статские чины. А. Губернское ведомство: 1. Чиновников, членов присутствий",8,7,13,8,9,8,76,60
Их детей,6,8,3,4,4,10,47,80
2. Канцелярских чиновников,5,2,12,4,9,7,176,74
Их детей,4,—,2,—,8,6,38,48
3. Нижних служителей,9,4,—,—,11,5,59,23
Их детей,—,—,—,—,2,4,13,13
Итого Губернское ведомство,32,21,30,16,43,40,409,298
"Б. Почтовое ведомство: 1. Чиновников, членов присутствий",2,1,2,2,1,1,11,8
Их детей,—,1,—,1,1,3,4,13
2. Канцелярских чиновников,—,—,—,—,—,—,4,—
Их детей,—,—,—,—,—,—,—,—
3. Почталионов и прочих нижних служителей,3,2,5,4,2,1,31,17
Их детей,7,5,2,4,1,4,21,22
Итого Почтовое ведомство,12,9,9,11,5,9,71,60
