"Отделение первое. Состояния, не включаемые в ревизию (Лист 3)",Красноярской округ - Мужеского пола,Красноярской округ - Женского,Енисейской округ - Мужеского пола,Енисейской округ - Женского
В. Ведомство народного просвещения:,,,,
1. Чиновников,6,4,4,1
Их детей,2,3,1,2
2. Нижних служителей,2,—,—,—
Их детей,—,—,—,—
Итого по ведомству народного просвещения,10,7,5,3
Г. Ведомство консисторияльное:,,,,
1. Чиновников,1,1,2,—
Их детей,—,1,—,2
2. Нижних служителей,2,2,2,1
Их детей,—,—,—,—
Итого по ведомству консисторияльному,3,4,4,3
Д. Часть медицинская:,,,,
1. Чиновников,6,5,3,—
Их детей,3,5,—,—
2. Нижних служителей,17,10,12,4
Их детей,6,7,4,4
Итого по медицинской части,32,27,19,8
Е. Таможенное управление:,,,,
1. Чиновников,—,—,—,—
Их детей,—,—,—,—
2. Нижних служителей,—,—,—,—
Их детей,—,—,—,—
Итого по таможенному управлению,—,—,—,—
Итого (общий итог по разделу),307,203,115,101
III. Военное ведомство.,,,,
А. Принадлежащих Сибирскому отдельному корпусу:,,,,
1) В штабе:,,,,
Чиновников,—,—,—,—
Их детей,—,—,—,—
Нижних чинов,—,—,—,—
"Их детей, при родителях",—,—,—,—
"2) В гарнизонных батальонах, исправляющих обязанности внутренней стражи:",,,,
