"Состояния, не включаемые в ревизию (Продолжение листа 3)",Ачинской округ - Мужеского пола,Ачинской округ - Женского,Канской округ - Мужеского пола,Канской округ - Женского,Минусинской округ - Мужеского пола,Минусинской округ - Женского,Итого - Мужеского пола,Итого - Женского
В. Ведомство народного просвещения: 1. Чиновников,6,2,—,—,—,—,16,7
Их детей,—,1,—,—,—,—,3,6
2. Нижних служителей,—,—,—,—,—,—,2,—
Их детей,—,—,—,—,—,—,—,—
Итого по ведомству народного просвещения,6,3,—,—,—,—,21,13
Г. Ведомство консисторияльное: 1. Чиновников,1,1,2,2,—,—,6,4
Их детей,—,1,—,—,—,—,—,4
2. Нижних служителей,3,2,—,—,—,—,7,5
Их детей,4,3,—,—,—,—,4,3
Итого по ведомству консисторияльному,8,7,2,2,—,—,17,16
Д. Часть медицинская: 1. Чиновников,2,1,2,—,1,1,14,7
Их детей,—,1,—,—,1,—,4,6
2. Нижних служителей,3,2,4,—,3,1,39,17
Их детей,4,5,3,1,1,1,18,18
Итого по медицинской части,9,9,9,1,6,3,75,48
Е. Таможенное управление: 1. Чиновников,—,—,—,—,—,—,—,—
Их детей,—,—,—,—,—,—,—,—
2. Нижних служителей,—,—,—,—,—,—,—,—
Их детей,—,—,—,—,—,—,—,—
Итого по таможенному управлению,—,—,—,—,—,—,—,—
Итого (общий итог по разделу),67,49,50,30,54,52,593,435
III. Военное ведомство. А. Принадлежащих Сибирскому отдельному корпусу: 1) В штабе: Чиновников,—,—,—,—,—,—,—,—
Их детей,—,—,—,—,—,—,—,—
Нижних чинов,—,—,—,—,—,—,—,—
"Их детей, при родителях",—,—,—,—,—,—,—,—
