"Отделение первое / Ведомство. Состояния, не включаемые в ревизию",Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
8) Ведомство артиллерийское: Чиновников,1,1,-,-
8) Их детей,1,2,-,-
8) Нижних чинов,8,5,-,-
8) Их детей,4,1,-,-
Итого по разделу 8,14,9,-,-
9) Линейных казаков: Чиновников,-,-,-,-
9) Их детей,-,-,-,-
9) Нижних чинов,-,-,-,-
9) Их детей,-,-,-,-
Итого.,1300,331,326,104
Б. Комендантское ведомство: 1. Чиновников,-,-,-,-
Б. Комендантское ведомство: Их детей,-,-,-,-
Б. Комендантское ведомство: 2. Нижних чинов,-,-,-,-
"Б. Комендантское ведомство: Их детей, при родителях",-,-,-,-
Б. Комендантское ведомство: 3. Солдатских детей в военно-сиротских отделениях,-,-,-,-
Итого по Б. Комендантскому ведомству,-,-,-,-
"В. Войск, временно квартирующих: 1) Пехотных Чиновников",-,-,-,-
"В. Войск, временно квартирующих: Их детей",-,-,-,-
"В. Войск, временно квартирующих: Нижних чинов",-,-,-,-
"В. Войск, временно квартирующих: Их детей",-,-,-,-
"В. Войск, временно квартирующих: 2) Конных Чиновников",-,-,-,-
"В. Войск, временно квартирующих: Их детей",-,-,-,-
"В. Войск, временно квартирующих: Нижних чинов",-,-,-,-
"В. Войск, временно квартирующих: Их детей, при родителях",-,-,-,-
"Итого по В. Войск, временно квартирующих",-,-,-,-
