"Отделение первое. Состояния, не включаемые в ревизию",Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Нижних чинов,-,-,-,-
Их детей,-,-,-,-
Итого по разделу Морское ведомство,-,-,-,-
V. Войск Гражданского ведомства: 1. Городовых казаков в составе полков,210,121,192,83
V. Войск Гражданского ведомства: Их детей,87,59,80,80
V. Войск Гражданского ведомства: Итого по 1,297,180,272,163
V. Войск Гражданского ведомства: 2. Станичных казаков,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-
V. Войск Гражданского ведомства: Итого по 2,-,-,-,-
V. Войск Гражданского ведомства: 3. Пограничных казаков: Русских,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-
V. Войск Гражданского ведомства: Инородных,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-
V. Войск Гражданского ведомства: Итого по 3,-,-,-,-
V. Войск Гражданского ведомства: 4. Башкирских казаков,-,-,-,-
V. Войск Гражданского ведомства: Их детей,-,-,-,-
V. Войск Гражданского ведомства: Итого по 4,-,-,-,-
V. Войск Гражданского ведомства: Общий Итого,297,180,272,163
VI. Часть горная: 1. Горных чиновников,1,1,-,-
VI. Часть горная: Их детей,-,-,-,-
VI. Часть горная: 2. Канцелярских чиновников,-,-,-,-
VI. Часть горная: Их детей,-,-,-,-
VI. Часть горная: 3. Строевых,-,-,-,-
VI. Часть горная: Их детей,-,-,-,-
VI. Часть горная: 4. Заводских работников,-,-,-,-
VI. Часть горная: Их детей,-,-,-,-
VI. Часть горная: Итого,1,1,-,-
