Отделение / Ведомство / Категория,Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
VII. Ведомство путей сообщения: 1. Состоящих на воинском положении чиновников.,-,-,-,-
VII. Ведомство путей сообщения: Их детей.,-,-,-,-
VII. Ведомство путей сообщения: Нижних чинов,-,-,-,-
VII. Ведомство путей сообщения: Их детей.,-,-,-,-
VII. Ведомство путей сообщения: 2. Гражданских чиновников.,4,3,-,-
VII. Ведомство путей сообщения: Их детей.,2,-,-,-
VII. Ведомство путей сообщения: Нижних чинов,1,-,-,-
VII. Ведомство путей сообщения: Их детей.,-,-,-,-
Итого по разделу VII,7,3,-,-
VIII. Не принадлежащих к состояниям служащих: 1. Дворян вне службы .,5,3,-,-
VIII. Не принадлежащих к состояниям служащих: Их детей. .,-,-,-,-
VIII. Не принадлежащих к состояниям служащих: 2. Личных дворян и разночинцев вне службы .,311,122,353,225
VIII. Не принадлежащих к состояниям служащих: Их детей. .,97,107,-,-
VIII. Не принадлежащих к состояниям служащих: 3. Состоящих на попечении Приказа общественного призрения,-,-,-,-
VIII. Не принадлежащих к состояниям служащих: В воспитательных домах . .,-,-,-,-
VIII. Не принадлежащих к состояниям служащих: В богадельнях . . .,20,5,-,-
Итого по разделу VIII,433,287,353,225
Всего не включаемых в ревизию.,2511,1208,1213,782
Отделение Второе. Состояния податные. I. Городовые жители: 1. Купцов: Первой гильдии .,10,7,1,3
Отделение Второе. Состояния податные. I. Городовые жители: Второй — — .,10,10,1,1
Отделение Второе. Состояния податные. I. Городовые жители: Третьей — — .,56,42,51,44
Итого по купцам,76,59,53,48
Отделение Второе. Состояния податные. I. Городовые жители: 2. Иностранных гостей . .,3,-,-,-
Отделение Второе. Состояния податные. I. Городовые жители: 3. Мещан . . . .,1269,1117,2555,2654
