"Отделение второе. Состояния, включаемые в ревизию (в заголовке опечатка 'не включаемые')",Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Цеховых.,-,-,-,-
Промежуточный итог (цеховые/мещане/гости),1272,1117,2555,2654
4. Дворовых людей: Русских,40,30,-,-
4. Дворовых людей: Калмыков,-,-,-,-
Итого по 4. Дворовых людей,40,30,-,-
5. Монастырских служителей,-,-,17,10
Итого по разделу I. Городовые жители,1388,1206,2625,2712
II. Поселяне: 1. Крестьян: Государственных,14967,13847,12894,13462
II. Поселяне: 1. Крестьян: Экономических,1109,964,622,628
II. Поселяне: 1. Крестьян: Заводских и приписных к заводам,-,-,-,-
II. Поселяне: 1. Крестьян: Помещичьих,57,60,-,-
Итого по 1. Крестьян,16133,14871,13516,14090
II. Поселяне: 2. Военных поселян,28,18,35,30
II. Поселяне: Их детей.,56,25,10,-
Промежуточный итог по военным поселянам,84,43,45,30
Итого по разделу II. Поселяне,16217,14914,13561,14120
III. Инородцы: 1. Оседлых: Торговых,-,-,-,-
III. Инородцы: 1. Оседлых: Земледельцев,245,160,24,27
Итого по 1. Оседлых,245,160,24,27
III. Инородцы: 2. Кочевых: Христиан,-,-,16,16
III. Инородцы: 2. Кочевых: Иноверцев,-,-,-,-
Итого по 2. Кочевых,-,-,16,16
III. Инородцы: 3. Бродячих: Христиан,-,-,2377,2252
III. Инородцы: 3. Бродячих: Иноверцев,-,-,1712,1475
Итого по 3. Бродячих,-,-,4089,3727
Итого по разделу III. Инородцы,245,160,4129,3770
