Категория,Ачинской (Мужского),Ачинской (Женского),Канской (Мужского),Канской (Женского),Минусинской (Мужского),Минусинской (Женского),Итого (Мужского),Итого (Женского)
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 1) Каторжных: В работе .,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 1) Каторжных: Их детей. .,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 1) Каторжных: На вольном пропитании,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 1) Каторжных: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 1),-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 2) Поселенцев: На льготе .,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 2) Поселенцев: Их детей. .,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 2) Поселенцев: На вольном пропитании,-,-,-,-,-,-,-,-
IV. Ссыльные: А. Распределенных до издания Устава о ссыльных: 2) Поселенцев: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 2),-,-,-,-,-,-,-,-
Итого по А,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 1. Каторжных: В работе .,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 1. Каторжных: Их детей. .,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 1. Каторжных: Уволенных от работы,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 1. Каторжных: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 1.,-,-,-,-,-,-,1468,1175
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 2. Временных заводских работников .,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 2. Временных заводских работников: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 2.,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 3. В ведомстве сухопутных сообщений,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 3. В ведомстве сухопутных сообщений: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 3.,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 4. В мастеровых,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 4. В мастеровых: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 4.,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 5. В цехе — слуг,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 5. В цехе — слуг: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 5.,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 6. На поселении: Водворенных .,-,-,-,-,-,-,-,-
IV. Ссыльные: Б. Распределенных по Уставу о ссыльных: 6. На поселении: Их детей. .,-,-,-,-,-,-,-,-
Промежуточный итог по 6.,-,-,-,-,-,-,-,-
Дополнительная строка 1,-,-,-,-,-,-,-,-
Дополнительная строка 2,-,-,-,-,-,-,-,-
Дополнительная строка 3,-,-,-,-,-,-,-,-
Дополнительная строка 4,-,-,-,-,-,-,-,-
