Отделение второе / Категория / Примечания,Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Водворяемых .,-,-,-,-
Их детей. .,-,-,-,-
Приписанных к прежним селениям. .,-,-,-,-
Их детей. .,-,-,-,-
Промежуточный итог,-,-,-,-
7. Дряхлых. .,-,-,-,-
Их детей. .,-,-,-,-
Промежуточный итог по 7,-,-,-,-
8. На льготе водворенных по выслуге сроков . .,-,-,-,-
Их детей. .,-,-,-,-
Промежуточный итог по 8,-,-,-,-
"9. Выслуживших сроки, но неводворившихся. .",-,-,-,-
Их детей. .,-,-,-,-
Промежуточный итог по 9,-,-,-,-
Итого. . . .,-,-,-,-
Итого ссыльных. .,-,-,-,-
Всего податных состояний. . . .,-,-,-,-
Итого всех в Енисейской губернии . . . .,-,-,-,-
Общие примечания. Первое. В течение года родилось . .,1829,1814,1109,933
В течение года умерло . .,1542,1315,901,730
В числе умерших: Менее 15-летнего возраста . .,658,609,405,340
От 15 до 45 лет. .,362,278,204,196
— 45 — 60 — . .,277,238,170,110
— 60 — 100 — . .,243,189,119,81
Выше ста лет. .,2,1,3,3
Совершено браков . .,283,,205,
Учинено разводов . .,-,-,-,-
Второе. Разделение жителей по вере.,-,-,-,-
