Раздел / Вероисповедание / Чины,Красноярской (Мужского пола),Красноярской (Женского пола),Енисейской (Мужского пола),Енисейской (Женского пола)
Христиан греческого исповедания,27558,23561,20756,19674
Раскольников (*),88,21,89,30
Римского исповедания,311,88,193,4
Прочих исповеданий,74,31,-,-
Итого христианских исповеданий,28031,23701,21038,19708
Евреев.,216,340,267,73
Магометан . .,65,12,16,-
Ламской веры. .,-,-,-,-
В том числе лам,-,-,-,-
Прочих язычников.,45,15,1641,1473
Итого нехристианских исповеданий / иноверцев,326,367,1924,1546
Служащих и неслужащих от 14 до 9 класса,158,38,27,8
От 8 до 6 — . .,25,20,7,-
5 — . . . . .,5,2,-,-
4 — . . . . .,1,1,-,-
3 и 2 . . . . .,-,-,-,-
