Категория / Раздел,Красноярской округ (Десятины),Красноярской округ (Сажени)
I. Общее означение: Измеренной земли с точностию,697063,425
I. Общее означение: Измеренной приблизительными средствами.,-,-
I. Общее означение: Неизмеренной.,1114915,2375
I. Общее означение: Итого . . . .,1811979,400
II. Пространство городов: Под строением,884,1239
II. Пространство городов: Пашни.,2145,344
II. Пространство городов: Покосов . .,484,330
II. Пространство городов: Скотского выгона,704,2322
II. Пространство городов: Лесов строевых .,-,-
II. Пространство городов: — дровяных и кустарников.,123,1348
II. Пространство городов: Неудобной земли,7096,2347
II. Пространство городов: — — — под водами .,830,1286
II. Пространство городов: Итого . . . .,12269,2016
III. Пространство округа: Под поселением и загороженными выгонами .,59986,1371
III. Пространство округа: Пашни.,363390,2385
III. Пространство округа: Сенных покосов .,70497,56
III. Пространство округа: Леса корабельного .,-,-
III. Пространство округа: — строевого . .,37950,1122
III. Пространство округа: — дровяного и кустарников.,47589,780
"III. Пространство округа: Удобной, но необработанной земли",20062,1000
III. Пространство округа: Солонцов.,10000,-
