Категория,Енисейской (Десятины),Енисейской (Сажени),Ачинской (Десятины),Ачинской (Сажени),Канской (Десятины),Канской (Сажени),Минусинской (Десятины),Минусинской (Сажени),Итого (Десятины),Итого (Сажени)
I. Общее означение: Измеренной земли с точностию,17014,1657,327931,1985,635479,720,668086,135,2345575,1346
I. Общее означение: Измеренной приблизительными средствами.,-,-,-,-,-,-,-,-,-,-
I. Общее означение: Неизмеренной.,186234860,743,3570193,415,9825068,980,11724621,1841,212469659,1554
I. Общее означение: Итого . . . .,186251875,-,3898125,-,10460547,1700,12392708,800,214815235,500
II. Пространство городов: Под строением,348,1430,200,-,344,230,529,252,2306,751
II. Пространство городов: Пашни.,-,-,840,2368,6265,1144,5609,2363,14861,1419
II. Пространство городов: Покосов . .,2324,2312,941,203,3122,1225,1807,1078,8730,348
II. Пространство городов: Скотского выгона,218,1400,300,922,1235,125,3055,1953,5514,1922
II. Пространство городов: Лесов строевых .,70,-,100,75,620,1141,500,1400,1291,216
II. Пространство городов: — дровяных и кустарников.,1724,1226,150,1300,1240,2284,579,54,3818,1412
II. Пространство городов: Неудобной земли,3511,826,1240,2069,11406,352,1769,2229,25025,623
II. Пространство городов: — — — под водами .,1395,800,221,650,2438,339,619,110,5504,785
II. Пространство городов: Итого . . . .,9593,794,3995,387,26722,2040,14470,2239,67052,276
III. Пространство округа: Под поселением и загороженными выгонами .,60,152,32509,1484,35562,1400,26228,475,154347,82
III. Пространство округа: Пашни.,2084,985,105870,1770,153437,1886,175628,1213,800412,1039
III. Пространство округа: Сенных покосов .,1958,1698,37658,1404,52475,1263,41656,429,205246,50
III. Пространство округа: Леса корабельного .,-,-,-,-,-,-,-,-,-,-
III. Пространство округа: — строевого . .,500,100,10604,1671,77545,1805,31359,1494,157960,1392
III. Пространство округа: — дровяного и кустарников.,601,1850,30698,862,200921,1767,19903,601,299714,2060
"III. Пространство округа: Удобной, но необработанной земли",400,50,10100,324,49966,587,40450,2235,120979,1790
III. Пространство округа: Солонцов.,-,-,2097,1604,-,-,5029,267,17126,1871
