Тег;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;Губернского правления;#org_gubernskoe_pravlenie;4;Гос. Органы;правление
orgName;Губернское правление;#org_gubernskoe_pravlenie;2;Гос. Органы;правление
orgName;Губернскому правлению;#org_gubernskoe_pravlenie;2;Гос. Органы;правление
orgName;Министерства внутренних дел;#org_ministry_internal;2;Гос. Органы;министерство

orgName;Приказа общественного призрения;#org_prikaz_public_welfare;2;Общ. орг-ии;приказ
orgName;Городская полиция;#org_gorodskaya_policiya;1;Гос. Органы;полиция
orgName;Земская полиция;#org_zemskaya_policiya;1;Гос. Органы;полиция
orgName;Смирительного дома;#org_house_of_correction;1;Тюрьмы;смирительный дом
orgName;Римско-Католического духовенства;#org_catholic_clergy;1;Церковь;духовенство
orgName;Троицкому солеваренному заводу;#org_troitsk_salt_works;1;Пром-ть;завод

orgName;Приказ общественного призрения;#org_prikaz_public_welfare;1;Общ. орг-ии;приказ
orgName;Владимирского детского приюта;#org_vladimir_orphanage;1;Общ. орг-ии;приют
orgName;Врачебная Управа;#org_medical_board;1;Гос. Органы;управа
orgName;Енисейскому конному казачьему полку;#org_cossack_regiment;1;Войска;полк
orgName;Комитета г. министров;#org_committee_ministers;1;Гос. Органы;комитет
orgName;Экспедиции о ссыльных;#org_expedition_exiles;1;Гос. Органы;экспедиция
orgName;Рекрутское присутствие;#org_recruit_board;1;Гос. Органы;присутствие

orgName;Рекрутским присутствием;#org_recruit_board;1;Гос. Органы;присутствие
orgName;Красноярской Частной Управе;#org_private_board;1;Гос. Органы;управа
orgName;Иркутской гимназии;#org_irkutsk_gymnasium;1;Образование;гимназия
orgName;Красноярская губернская публичная библиотека;#org_public_library;1;Образование;библиотека
orgName;Губернское правление;;1;Гос. Органы;правление
orgName;Приказ общественного призрения;;1;Общ. орг-ии;приказ

orgName;Врачебная управа;;1;Гос. Органы;управа
orgName;Рекрутское присутствие;;1;Гос. Органы;присутствие
orgName;Красноярская губернская публичная библиотека;;1;Образование;библиотека
orgName;Иркутская гимназия;;1;Образование;гимназия
orgName;Енисейский конный казачий полк;;1;Войска;полк
orgName;Красноярская Частная Управа;;1;Гос. Органы;управа
orgName;Смирительный дом;;1;Тюрьмы;смирительный дом
orgName;Троицкий солеваренный завод;;1;Пром-ть;завод
orgName;Министерство внутренних дел;;1;Гос. Органы;министерство
orgName;Римско-Католическое духовенство;;1;Церковь;духовенство
orgName;Комитет министров;;1;Гос. Органы;комитет

orgName;Экспедиция о ссыльных;;1;Гос. Органы;экспедиция
orgName;Омский батальон;;1;Войска;батальон
orgName;Сибирский линейный батальон № 12;;1;Войска;батальон
orgName;Владимирский детский приют;;1;Общ. орг-ии;приют
orgName;Назаровское волостное правление;;1;Гос. Органы;правление
orgName;Вятское Губернское правление;;1;Гос. Органы;правление
orgName;Тобольское Губернское правление;;1;Гос. Органы;правление
orgName;Городская полиция;;1;Гос. Органы;полиция
orgName;Земская полиция;;1;Гос. Органы;полиция
orgName;Пермское губернское правление;;1;Гос. Органы;правление
orgName;Совет Главного управления Восточной Сибири;;1;Гос. Органы;совет
orgName;Сиротский суд;;1;Гос. Органы;суд
orgName;Словесный суд;;1;Гос. Органы;суд
orgName;Окружной суд;;1;Гос. Органы;суд
orgName;Городовой суд;;1;Гос. Органы;суд
orgName;Земский суд;;1;Гос. Органы;суд
orgName;Енисейская Казенная палата;;1;Гос. Органы;палата
orgName;Строительная комиссия;;1;Гос. Органы;комиссия

persName;В. К. Падалка 24;person_в_к_падалка;2;Власть;губернатор
persName;Мазалевский;person_mazalevskiy;1;Сословия;государственный преступник
persName;Павел Вышемирский;person_pavel_vyshemirskiy;1;Сословия;политический преступник
persName;Иван Гаврилови;person_иван_гаврилов;1;Сословие;мещанин
persName;Николай Н овиков;#person_николай_новиков;1;Сословие;мещанин
persName;Хотимский;person_khotimskiy;1;Сословие;торгующий крестьянин
persName;Иван Гаврилов;;1;Сословие;мещанин
persName;Николай Новиков;;1;Сословие;мещанин
persName;В. К. Падалка;;1;Власть;губернатор
persName;Платон Бронников;;1;Сословие;купец
persName;Лямина;;1;Сословие;купеческая вдова

