id;Текст сущности;REF (ID);Частота;Type (заполнить);Subtype (заполнить)
orgName;губернское правление;#org_gubernskoe_pravlenie;49;Организации;Гос. Органы
orgName;тот суд;#org_тот_суд;16;Организации;Гос. Органы
orgName;Совета Главного управления Восточной Сибири;#org_council_main_admin_eastern_siberia;6;Организации;Гос. Органы
orgName;Приказа общественного призрения;#org_prikaz_public_welfare;5;Организации;Гос. Органы
orgName;оный суд;#org_оный_суд;4;Организации;Гос. Органы
orgName;Министерства внутренних дел;#org_ministry_internal;3;Организации;Гос. Органы
orgName;Приказ общественного призрения;#org_prikaz_public_welfare;2;Организации;Гос. Органы
orgName;понуждении Минусинский земский суд;#org_понуждении_минусинский_земский_суд;2;Организации;Гос. Органы
orgName;золотопромышленников Для уплаты долгов Овцына учреждается опекунское управление;#org_золотопромышленников_для_уплаты_долгов_овцына_учреждается_оп;2;Организации;Гос. Органы
orgName;Вследствие всего этого Красноярский земский суд;#org_вследствие_всего_этого_красноярский_земский_суд;2;Организации;Гос. Органы
orgName;губернское управление;#org_губернское_управление;2;Организации;Гос. Органы
orgName;для рассмотрения его губернское правление;#org_для_рассмотрения_его_губернское_правление;2;Организации;Гос. Органы
orgName;тот же суд;#org_тот_же_суд;2;Организации;Гос. Органы
orgName;происходившей по этому делу переписки Енисейская казенная палата;#org_происходившей_по_этому_делу_переписки_енисейская_казенная_па;2;Организации;Гос. Органы
orgName;уведомила губернское правление;#org_уведомила_губернское_правление;2;Организации;Гос. Органы
orgName;земский суд;#org_земский_суд;2;Организации;Гос. Органы
orgName;После происходившей по сему делу переписки губернское правление;#org_после_происходившей_по_сему_делу_переписки_губернское_правле;2;Организации;Гос. Органы
orgName;просила Харьковское губернское правление;#org_просила_харьковское_губернское_правление;2;Организации;Гос. Органы
orgName;это правление;#org_это_правление;2;Организации;Гос. Органы
orgName;Подольское губернское правление;#org_подольское_губернское_правление;2;Организации;Гос. Органы
orgName;понуждении Красноярский земский суд;#org_понуждении_красноярский_земский_суд;2;Организации;Гос. Органы
orgName;Витебское губернское правление;#org_витебское_губернское_правление;2;Организации;Гос. Органы
orgName;сие правление;#org_сие_правление;2;Организации;Гос. Органы
orgName;от командира помянутого сведения губернское правление;#org_от_командира_помянутого_сведения_губернское_правление;2;Организации;Гос. Органы
