ГОРОДА И ОКРУГИ,Почетн.-Строевых-Унт-офицеров,Почетн.-Строевых-Музыкальн.,Почетн.-Строевых-Рядовых,Почетн.-Строевых-Нестроевых,Почетн.-Фур-Унт-офицеров,Почетн.-Фур-Рядовых,Гвардии-Кавалерии-Строевых-Унт-офицеров,Гвардии-Кавалерии-Строевых-Музыкальн.,Гвардии-Кавалерии-Строевых-Рядовых,Гвардии-Кавалерии-Строевых-Нестроевых,Гвардии-Кавалерии-Фур-Унт-офицеров,Гвардии-Кавалерии-Фур-Рядовых,Артиллерии-Строевых-Унт-офицеров,Артиллерии-Строевых-Музыкальн.,Артиллерии-Строевых-Рядовых,Артиллерии-Строевых-Нестроевых,Артиллерии-Фур-Унт-офицеров,Артиллерии-Фур-Рядовых
В Красноярске,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
г. Енисейске,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Канске,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Ачинске,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Минусинске,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Итого,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
