Сапер-Строевых-Унт-офицеров,Сапер-Строевых-Музыкальн.,Сапер-Строевых-Рядовых,Сапер-Строевых-Нестроевых,Сапер-Фур-Унт-офицеров,Сапер-Фур-Рядовых,Почетн.-Строевых-Унт-офицеров,Почетн.-Строевых-Музыкальн.,Почетн.-Строевых-Рядовых,Почетн.-Строевых-Нестроевых,Почетн.-Фур-Унт-офицеров,Почетн.-Фур-Рядовых,Гренадерского-Кавалерии-Строевых-Унт-офицеров,Гренадерского-Кавалерии-Строевых-Музыкальн.,Гренадерского-Кавалерии-Строевых-Рядовых,Гренадерского-Кавалерии-Строевых-Нестроевых,Гренадерского-Кавалерии-Фур-Унт-офицеров,Гренадерского-Кавалерии-Фур-Рядовых,Гренадерского-Артиллерии-Строевых-Унт-офицеров,Гренадерского-Артиллерии-Строевых-Музыкальн.,Гренадерского-Артиллерии-Строевых-Рядовых,Гренадерского-Артиллерии-Строевых-Нестроевых,Гренадерского-Артиллерии-Фур-Унт-офицеров,Гренадерского-Артиллерии-Фур-Рядовых,Гренадерского-Сапер-Строевых-Унт-офицеров,Гренадерского-Сапер-Строевых-Музыкальн.,Гренадерского-Сапер-Строевых-Рядовых,Гренадерского-Сапер-Строевых-Нестроевых,Гренадерского-Сапер-Фур-Унт-офицеров,Гренадерского-Сапер-Фур-Рядовых
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,12,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
