ГОРОДА И ОКРУГИ,Почетн.-Строевых-Унт-офицеров,Почетн.-Строевых-Музыкальн.,Почетн.-Строевых-Рядовых,Почетн.-Строевых-Нестроевых,Почетн.-Фур-Унт-офицеров,Почетн.-Фур-Рядовых,Гвардии-Кавалерии-Строевых-Унт-офицеров,Гвардии-Кавалерии-Строевых-Музыкальн.,Гвардии-Кавалерии-Строевых-Рядовых,Гвардии-Кавалерии-Строевых-Нестроевых,Гвардии-Кавалерии-Фур-Унт-офицеров,Гвардии-Кавалерии-Фур-Рядовых,Гвардии-Артиллерии-Строевых-Унт-офицеров,Гвардии-Артиллерии-Строевых-Музыкальн.,Гвардии-Артиллерии-Строевых-Рядовых,Гвардии-Артиллерии-Строевых-Нестроевых,Гвардии-Артиллерии-Фур-Унт-офицеров,Гвардии-Артиллерии-Фур-Рядовых,Гвардии-Сапер-Строевых-Унт-офицеров,Гвардии-Сапер-Строевых-Музыкальн.,Гвардии-Сапер-Строевых-Рядовых,Гвардии-Сапер-Строевых-Нестроевых,Гвардии-Сапер-Фур-Унт-офицеров,Гвардии-Сапер-Фур-Рядовых,Н*-рабоч.-Унт-офицеров,Н*-рабоч.-Музыкальн.,Н*-рабоч.-Рядовых
В Красноярске,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,17,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Енисейске,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,17,6,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Канске,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,9,1,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Ачинске,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
г. Минусинске,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
округе оного,5,0,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Итого,60,11,275,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
