,Жандармских-Строевых-Рядовых,Жандармских-Строевых-Музыкальн.,Жандармских-Строевых-Рядовых_2,Морских-Раб.-Фур-Рядовых,ИТОГО-Строевых-Унт-офицеров,ИТОГО-Строевых-Музыкальн.,ИТОГО-Строевых-Рядовых,ИТОГО-Строевых-Нестроевых,ВСЕХ
В Красноярске,2,0,0,0,6,0,9,0,15
округе оного,0,1,0,0,18,4,31,0,53
г. Енисейске,0,0,0,0,3,0,11,0,14
округе оного,0,0,0,0,25,8,61,2,96
г. Канске,0,0,0,0,0,0,1,0,1
округе оного,0,1,0,0,10,1,32,3,46
г. Ачинске,0,0,0,0,1,0,11,0,12
округе оного,0,0,1,1,2,2,14,0,18
г. Минусинске,0,0,0,0,1,0,9,0,10
округе оного,0,0,0,0,6,11,27,0,44
Итого,5,0,0,1,72,26,206,5,309
