ГОРОДА И ОКРУГИ,Хлебопашеством-Собственным,Хлебопашеством-В семействах,Разными ремеслами,Торговлей,Находятся при должностях-казенных,Находятся при должностях-частных,Пропитываются поденною работою,За тем остается неустроившихся
В Красноярске,0,0,9,0,0,6,0,0
округе оного,3,2,13,0,0,1,29,5
г. Енисейске,0,1,8,1,0,3,1,0
округе оного,6,52,26,0,0,9,5,0
г. Канске,0,0,1,0,0,0,0,0
округе оного,5,28,3,0,3,7,0,0
г. Ачинске,0,12,0,0,0,0,0,0
округе оного,1,10,0,2,0,0,0,5
г. Минусинске,0,0,10,0,0,0,0,0
округе оного,7,13,12,0,0,0,7,5
Итого,22,118,82,3,3,26,40,15
