Местоположение,По малолетству,По помешательству в уме,По глухонемоте,По спорам наследников и по *** их,Над имением неосторожных должников,По безвестному отсутствию,За расточительность,По злоупотреблению помещичьей власти,По лишению прав дворянства,По отсутствию от православия
В Красноярске: по дворянской опеке,5,0,0,0,0,0,0,1,0,0
В Красноярске: городской,39,1,0,1,1,3,2,0,0,0
В Енисейске: по дворянской опеке,1,0,0,0,0,0,0,0,0,0
В Енисейске: городской,42,0,0,0,0,0,0,0,0,0
В Ачинске: по дворянской опеке,1,0,0,0,0,0,0,0,0,0
В Ачинске: городской,7,0,0,0,0,0,0,0,0,0
В Канске: по дворянской опеке,0,0,0,0,0,0,0,0,0,0
В Канске: городской,0,0,0,1,0,0,0,0,0,0
В Минусинске: по дворянской опеке,0,0,0,0,0,0,0,0,0,0
В Минусинске: городской,3,0,0,0,0,0,0,0,0,0
Итого,98,1,0,2,1,3,2,1,0,0
