Повинность,Число людей,Число подвод,Время занятий
"1. Исправление дорог, мостов, гатей...",10600,4873,1 месяц 6 дней
2. Отправление обывательской междудворной гоньбы,16502,37271,весь год
3. Содержание перевозов чрез реки...,106,0,6 месяцев
4. Караул при церквах и сельских магазинах...,2096,0,весь год
5. Приготовление леса для общественных строений...,2076,1870,в течение года
6. Поправка общественных зданий...,2070,1306,1 месяц
7. Содержание в известных местах кордонов...,2289,1698,весь год
8. Прекращение лесных пожаров,745,599,в течение года
9. Работы при межевании,1953,262,2 месяца
10. Препровождение воинских партий,50,65,временно
11. Провоз каравана с серебром,91,206,5 дней
