Категория,Описание,Рубли,Копейки
Не указано,"Мещанам Петру, Петриме и Александру Кореневым",375,0.0
Не указано,Выдано для расчета рабочих золотопромышленников Толкачева и Алымова,18688,0.75
Не указано,Отослано в Енисейский приказ общественного призрения,29000,0.0
Не указано,130 серии на,7579,84.0
Канск,Михаилу Каминеру,4500,0.0
Канск,Андрияну Бурмакину,200,0.0
Канск,Василию Сурикову,3500,0.0
Канск,Абраму Шепшелевичу,1500,0.0
Канск,Василию Бурмакину,300,0.0
Канск,Федору Никину,500,0.0
Канск,Купчихе Екатерине Да*мане,800,0.0
Канск,Мещанину Гирше Шлеймовичу,100,0.0
Канск,Отослано в Енисейский Приказ общественного призрения,4500,0.0
Ачинск,Отослано в Енисейский приказ общественного призрения,22203,0.25
Минусинск,Васириону Широков,1800,0.0
Минусинск,Ивану Голен*щкому,1400,0.0
Минусинск,Ивану Манахину,1750,0.0
Минусинск,Алексею Евстратову,900,0.0
Минусинск,Купеческому сыну Козьме Широкову,700,0.0
