Категория здания,Количество
Казенные каменные дома,4
Казенные деревянные дома,2
Частные каменные дома,17
Частные деревянные дома,917
Торговые каменные лавки,141
Торговые деревянные лавки,39
Гостиный двор каменный (в начале списка),1
Гостиный двор деревянный (в начале списка),1
Съестной рынок деревянный,1
Мясной ряд деревянный,1
Погреба с виноградными винами каменные,4
Погреб с виноградными винами деревянный,1
Училище каменное (в начале списка),1
Училище деревянное (в начале списка),1
Церкви каменные,8
Монастыри каменные,2
Часовня деревянная,1
Больница каменная,1
Будки каменные,3
Будки деревянные,5
Тюремный острог каменный,1
Временный острог деревянный,1
Гостиный двор каменный (в списке),1
Училище каменное,1
Училище деревянное,1
Питейный дом деревянный,1
Заводы деревянные,5
Кузница каменная,1
Кузницы деревянные,24
Магазины каменные,2
Магазины деревянные,2
Казарма для помещения инвалидной команды общественная каменная,1
Кладовая казначейства каменная,1
