Город,Категория здания,Количество
Ачинск,Казенные каменные дома,1
Ачинск,Казенные деревянные дома,7
Ачинск,Частные каменные дома,0
Ачинск,Частные деревянные дома,450
Ачинск,Торговые каменные лавки,0
Ачинск,Торговые деревянные лавки,40
Ачинск,Церкви каменные,2
Ачинск,Церкви деревянные,2
Ачинск,Кладовая казначейства каменная,1
Ачинск,Остроги деревянные,2
Ачинск,Военная сборня деревянная,1
Ачинск,Винные подвалы деревянные,5
Ачинск,Соляные магазины и лавочки деревянные,3
Ачинск,Провиантские магазины деревянные,2
Ачинск,Пороховые погреба деревянные,2
Ачинск,Питейные дома деревянные,3
Ачинск,Гостиница деревянная,1
Ачинск,Кузницы деревянные,5
Ачинск,Мельницы деревянные,3
Ачинск,Будки деревянные,6
Ачинск,Училища деревянные,1
Ачинск,Больница деревянная,1
Ачинск,Богадельни деревянные,2
Канск,Казенные каменные дома,1
Канск,Казенные деревянные дома,9
Канск,Частные каменные дома,0
Канск,Частные деревянные дома,249
Канск,Торговые каменные лавки,0
Канск,Торговые деревянные лавки,33
Канск,Церковь каменная,1
Канск,Часовня каменная,1
Канск,Еврейская молельня деревянная,1
Канск,Богадельня каменная,1
Канск,Больница деревянная,1
Канск,Будки деревянные,2
Канск,Тюремный острог деревянный,1
Канск,Питейные дома деревянные,3
Канск,Заводы деревянные,2
Канск,Кузницы деревянные,6
Канск,Пороховой погреб деревянный,1
Канск,Магазины разные деревянные,9
Канск,Гостиный двор деревянный,1
Канск,Училища деревянные,1
