Город/Категория,Категория здания,Количество
Минусинск,Казенные каменные дома,0
Минусинск,Казенные деревянные дома,4
Минусинск,Частные каменные дома,0
Минусинск,Частные деревянные дома,285
Минусинск,Торговые каменные лавки,0
Минусинск,Торговые деревянные лавки,17
Минусинск,Церковь каменная,1
Минусинск,Богадельня каменная,1
Минусинск,Кладовая казначейства каменная,1
Минусинск,Тюремный острог деревянный,1
Минусинск,Питейные дома деревянные,3
Минусинск,Мельницы деревянные,11
Минусинск,Пороховой погреб деревянный,1
Минусинск,Кузницы деревянные,5
Минусинск,Магазины разные деревянные,5
Минусинск,Соляная лавочка деревянная,1
Минусинск,Подвалы винные деревянные,4
Минусинск,Навес для помещения вина деревянный,1
Минусинск,"Подвал, принадлежащий откупу, деревянный",1
Минусинск,Сборная для солдат деревянная,1
Минусинск,Училища деревянные,1
Минусинск,Словесный суд деревянный,1
Минусинск,Гарнизонная деревянная,1
Минусинск,Караульня деревянная,1
Итого по губернии,Казенные каменные дома,15
Итого по губернии,Казенные деревянные дома,57
Итого по губернии,Частные каменные дома,30
Итого по губернии,Частные деревянные дома,2826
Итого по губернии,Торговые каменные лавки,164
Итого по губернии,Торговые деревянные лавки,260
Вновь выстроенные в 1852 г.,Красноярск (частные деревянные дома),3
Вновь выстроенные в 1852 г.,Канск (частные деревянные дома),3
Вновь выстроенные в 1852 г.,Минусинск (частные деревянные дома),14
