Название зверя,Канский_1850,Канский_1851,Канский_1852,Минусинский_1850,Минусинский_1851,Минусинский_1852,Енисейский_1850,Енисейский_1851,Енисейский_1852,Туруханский_1850,Туруханский_1851,Туруханский_1852
Соболей,767,679,676,1437,1349,1477,1010,853,826,821,59,40
Лисиц,198,223,204,236,196,211,282,291,303,13,17,10
Белок,33617,33597,45615,17886,968,18600,0,0,119,25,0,0
Колонков,0,0,0,2,1,10,239,1385,1433,0,0,0
Горностаев,113,292,105,401,425,472,950,1109,1034,10,0,0
Песцов,0,0,0,0,0,0,0,0,0,1163,389,758
Харьков,143,149,163,0,0,0,0,0,0,0,0,0
Бобров,0,0,0,0,0,0,0,0,0,0,0,0
Выдр,58,53,0,19,36,24,54,22,28,0,1,0
Медведей,34,29,43,48,50,50,122,118,112,2,28,6
Волков,59,53,49,121,127,134,68,0,36,0,4,0
Россомах,6,10,8,0,5,6,34,0,39,0,5,0
Барсуков,0,0,0,0,0,0,0,0,0,0,0,0
Рысей,3,4,0,8,10,12,0,0,0,0,0,0
Табарганов,0,0,0,0,0,0,0,0,0,0,0,0
Зайцев,168,496,164,0,0,0,4570,4884,3816,0,0,0
Сохатых,60,57,55,0,0,0,115,77,46,0,0,0
Оленей,0,3,0,0,0,0,45,61,118,0,0,0
Коз,153,278,184,253,234,365,0,0,0,0,0,0
Кабанов,0,0,0,0,0,0,0,0,0,0,0,0
