Местоположение,Тип фабрики/завода,Количество,Сумма (руб.),Куда сбыт производится
В г. Красноярске,Кожевенных,10,17756.5,Распродается в г. Красноярске и в ближайших к нему уездах
В г. Красноярске,Мыловаренных,4,17756.5,Распродается в г. Красноярске и в ближайших к нему уездах
В г. Красноярске,Салотопенных,4,17756.5,Распродается в г. Красноярске и в ближайших к нему уездах
В г. Красноярске,Свечных,4,17756.5,Распродается в г. Красноярске и в ближайших к нему уездах
"Близ д. Крутой Заледеевской волости Знаменский завод, принадлежащий коллежскому советнику Коновалову",Стеклоделательный,1,1960.3,"Сбывается в Иркутску, Енисейскую и Томскую губернии"
"Близ д. Терентьевой Ладейской волости на р. Есауловке фабрика, принадлежащая купцу 3-й гильдии Василию Комарову",Бумажная,1,3000.0,Распродается в Енисейской и Иркутской губерниях
В г. Енисейске,Кожевенная,1,2500.0,В г. Енисейске и частию в округе оного
В г. Енисейске,Мыловаренная,1,1050.0,В г. Енисейске и частию в округе оного
В г. Енисейске,Прядильная,1,2250.0,В г. Енисейске и частию в округе оного
Ачинского округа: В Чернореченской волости,Бумажная,1,1834.15,Сбыт производится на месте в г. Ачинске
Ачинского округа: Балахтинской волости,Кирпичных,2,690.0,Жителями Балахтинской волости
Ачинского округа: Назаровской волости,Кожевенная,1,545.0,Жителями Назаровской волости
