Местность,Количество лошадей,Число рогатого скота,Овец простых,Овец тонкорунных,Свиней,Козлов,Верблюдов,Оленей
В Красноярске,2760,2548,808,0,130,260,0,0
округе оного,28631,12433,13691,0,16213,0,0,0
В Енисейске,734,390,15,0,104,30,0,0
округе оного,23751,12380,10802,0,6643,154,0,3640
В Ачинске,1650,1900,400,0,350,50,0,0
округе оного,40342,28778,46347,0,10553,1654,0,0
В Канске,1252,1620,1450,0,310,62,0,1
округе оного,46627,20212,35257,0,10181,183,0,44
В Минусинске,3550,4950,7841,0,240,465,0,0
округе оного,111695,89755,114043,0,10646,1463,0,0
Всего,290992,174970,230654,0,55370,4321,0,0
