Округ,Хлеб,Справ_Зим,Справ_Вес,Справ_Лет,Справ_Ос,Торг_Зим,Торг_Вес,Торг_Лет,Торг_Ос
Красноярский,Рожь,2 р. 21,1 р. 91*,1 р. 87 1/4,2 р. 3 1/4,2 р. 21,1 р. 91*,1 р. 87 1/4,2 р. 3 1/4
Красноярский,Ярица,2 р. 21,1 р. 91*,1 р. 17*,2 р. 5 1/4,2 р. 21,1 р. 91*,1 р. 17*,2 р. 5 1/4
Красноярский,Пшеница,3 р. 11 1/2,3 р. 99*,4 р.*,3 р. 20 1/4,3 р. 11 1/2,3 р. 99*,4 р.*,3 р. 20 1/4
Красноярский,Овес,2 р. 36,1 р. 91*,1 р. 79 1/4,1 р. 90*,2 р. 36,1 р. 91*,1 р. 79 1/4,1 р. 90*
Красноярский,Горох,3 р. 50,3 р. 30,3 р. 2 1/4,3 р. 2 1/4,3 р. 50,3 р. 30,3 р. 2 1/4,3 р. 2 1/4
Красноярский,Ячмень,2 р. 57 1/4,2 р. 60,2 р. 34 1/4,2 р. 36,2 р. 57 1/4,2 р. 60,2 р. 34 1/4,2 р. 36
Красноярский,Греча,1 р. 92 1/4,1 р. 92 1/4,1 р. 68,1 р. 98 1/4,1 р. 92 1/4,1 р. 92 1/4,1 р. 68,1 р. 98 1/4
Ачинский,Рожь,1 р. 47,1 р. 11 1/4,1 р. 51,1 р. 47 1/4,1 р. 47,1 р. 11 1/4,1 р. 51,1 р. 47 1/4
Ачинский,Пшеница,2 р. 21,2 р. 21,2 р. 21,2 р. 21,2 р. 21,2 р. 21,2 р. 21,2 р. 21
Ачинский,Овес,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2,1 р. 57 1/2
Ачинский,Ячмень,1 р. 68 1/4,1 р. 71*,1 р. 71*,1 р. 33,1 р. 68 1/4,1 р. 71*,1 р. 71*,1 р. 33
Ачинский,Горох,4 р. 78,4 р. 78,4 р. 78,4 р. 78,4 р. 78,4 р. 78,4 р. 78,4 р. 78
Канский,Рожь,2 р. 14,2 р. 30 1/4,2 р. 25,2 р. 78,2 р. 21,2 р. 25,2 р. 21,2 р. 27 1/4
Канский,Пшеница,5 р. 41*,5 р. 26*,4 р. 78,5 р. 24,5 р. 40,5 р. 28,4 р. 80,5 р. 24
Канский,Овес,2 р. 4 1/4,2 р. 4 3/4,2 р. 6,2 р. 15,2 р. 3,2 р. 5*,2 р. 5 1/2,2 р. 12
Канский,Греча,4 р. 72,4 р. 90,4 р. 90,4 р. 72,4 р. 72,4 р. 90,4 р. 90,4 р. 18
Канский,Горох,2 р. 40,2 р. 40,2 р. 40,2 р. 40,2 р. 40,2 р. 40,2 р. 40,2 р. 40
Канский,Ячмень,2 р. 80,2 р. 81 1/2,2 р. 90 1/2,3 р. 18,2 р. 60,2 р. 72,2 78,3 р. 11
Канский,Крупа ячная,6 р. 69,6 р. 47 1/2,3 р. 54,5 р. 46 1/2,5 р. 16,5 р. 76,5 р. 41,5 р. 44
Минусинский,Рожь,2 р. 8,2 р. 8,2 р. 8,2 р. 64,2 р.,2 р.,2 р. 10,2 р. 55
Минусинский,Пшеница,3 р. 32,3 р. 24,3 р. 24,3 р. 68,3 р. 22,3 р. 15,3 р. 10,3 р. 60
Минусинский,Овес,1 р. 88,1 р. 99,1 р. 99,2 р. 41,1 р. 85,1 р. 92 1/4,2 р. 15,2 р. 43
