Местность,Всего_М,Всего_Ж,Род_М,Род_Ж,Умер_М,Умер_Ж,Разн_М,Разн_Ж,Браки
В Красноярске,3481,2595,235,190,271,140,-36,50,97
округе оного (Красноярск),19826,21199,979,769,744,579,235,190,280
В Енисейске,2968,2704,149,151,188,151,-39,0,82
округе оного (Енисейск),17752,18162,870,767,659,561,211,206,279
В Ачинске,1321,1124,74,64,67,41,7,23,14
округе оного (Ачинск),23451,20198,879,761,501,471,378,290,365
В Канске,1008,932,31,32,31,34,0,-2,11
округе оного (Канск),24788,19676,841,784,502,484,539,300,256
В Минусинске,1031,909,57,58,46,44,11,14,13
округе оного (Минусинск),32142,29305,1328,1291,731,714,597,577,447
