Название преступлений,Число преступлений,Примечания
Грабежей и разбоев в домах и жилых местах,20,"По одиннадцати делам виновные открыты и преданы суду, а по последним виновных не открыто."
На дороге,1,"Виновных открыто 6 человек, которые и преданы."
Краж в домах,5,"По четырем кражам не открыто виновных, а по последней пойман ссыльнопоселенец и предан суду."
Конокрадство,68,"По 56 делам виновные открыты и преданы суду, а по прочим виновных не открыто."
Воровства и мошенничества,249,"По многим делам виновных обнаружено до 149 человек, которые и преданы суду, о некоторых из них дела уже решены, а о других еще находятся в производстве."
Составление подложных видов и актов,9,"По восьми делам следствия закончены и отосланы на решение судебных мест, по остальному делу открыт виновный, который и предан суду."
Буйств,1,"Виновных открыто 6 человек, дело о них еще не окончено."
Нарушение прав семейственных,4,Виновные открыты и подвергнуты суду.
Корчемств,57,"По 50 делам произведены следствия и переданы на решение судебного места, а по семи делам производятся еще следствия."
Упуск арестантов,7,Виновные открыты и дела о них отосланы на решение судебного места.
Пристанодержательство,24,"По 23 делам открыто виновных 82, которые и преданы суду, а по последнему производится следствие."
Подделка монеты,5,Виновные открыты и дела о них отосланы на решение судебного места.
Бродяжество,377,"285 человек преданы суду, а о последних производятся следствия и собираются нужные сведения."
