Местность,РК_М,РК_Ж,ЛР_М,ЛР_Ж,Мус_М,Мус_Ж,Идол_М,Идол_Ж,Евр_М,Евр_Ж
В Красноярске,96,8,4,5,0,0,0,0,82,87
округе оного (Красноярск),244,49,57,32,51,4,0,0,122,71
В Енисейске,11,0,4,2,23,0,0,0,86,91
округе оного (Енисейск),85,19,7,7,5,1,1108,807,77,57
В Ачинске,11,3,4,0,0,0,0,0,15,18
округе оного (Ачинск),12,39,11,6,19,3,0,0,89,53
В Канске,11,3,1,0,0,0,0,0,36,47
округе оного (Канск),199,119,16,10,32,8,0,0,62,42
В Минусинске,5,9,0,0,0,0,0,0,12,12
округе оного (Минусинск),168,52,73,31,12,2,3140,3320,54,38
