Местность,Число пожаров,Церквей,Казенных зданий,Домов/фабрик/мельниц,Сумма_руб,Сумма_коп,Число погибших,Кораблекрушений
В Красноярске,0,0,0,5,3110,0.0,0,0
округе оного (Красноярск),6,0,0,3,333,,0,0
В Енисейске,0,0,0,0,0,0.0,0,0
округе оного (Енисейск),6,0,0,3,4469,58.0,0,0
В Ачинске,0,0,0,0,0,0.0,0,0
округе оного (Ачинск),10,0,0,27,2325,23.0,0,0
В Канске,0,0,0,0,0,0.0,0,0
округе оного (Канск),1,0,0,14,2578,59.0,1,0
В Минусинске,9,0,0,4,2320,0.0,0,0
округе оного (Минусинск),11,1,0,10,2062,18.0,0,0
