Принадлежность,Пуды,Фунты,Золотники,Доли
К-о коллежского советника Голубкова и почетного гражданина Кузнецова,11,15,44,76
Шлиссельбургского купца Тита Зотова,73,30,12,24
К-о поручика Малеванского,28,12,33,0
"К-о купца Соловьева, торгового дома Барковых, наследников Золотарева и братьев Лялиных",57,13,10,24
К-о коллежского советника Асташева,14,21,23,72
К-о полковника Паткуля,21,13,53,0
К-о коллежского советника Горохова,18,35,21,62
"К-о его же Горохова, купцов Рязановых и Мошарова",23,5,59,48
К-о коллежского асессора Базилевского и губернского секретаря Лопатина,24,23,18,78
Наследников коммерции советника Кузина,5,30,55,0
Красноярского 1-й гильдии купца Белова,7,38,91,0
"К-о надворного советника Голубкова, наследниц Кузнецова и поручика Бенардаки",0,0,12,43
К-о купцов Толкачева и арендатора Алымова,13,20,64,12
Коллежского советника Коновалова,10,30,26,0
Почетного гражданина Пилонкова,8,39,4,88
К-о княгини Мадатовой,2,34,51,48
Генерал-майора Пашкова и графини Барановой,5,23,64,48
Коллежского советника Голубкова,8,3,56,48
К-о купцов Рязанова и Машарова,3,21,47,0
