Принадлежность,Бывших_муж,Бывших_жен,Нанявшихся,Бежавших,Возвращенных,Оставшихся
Красноярского 1-й гильдии купца Белова,325,13,20,2,1,7
К-о купцов Толкачева и Алымова,345,11,35,1,0,12
Коллежского советника Коновалова,320,13,19,7,0,53
Почетного гражданина Пилонкова,261,9,15,24,6,34
К-о княгини Мадатовой,205,1,36,11,0,20
Генерал-майора Пашкова,167,9,9,21,5,24
Коллежского советника Голубкова,183,7,17,5,1,139
К-о купцов Рязанова и Машарова,147,5,12,5,0,3
"К-о княгини Мадатовой, Базилевского и Лопатина",176,7,0,0,0,15
Коллежского советника Базилевского,115,4,5,1,1,11
К-о княгини Трубецкой,100,6,0,0,0,60
Красноярского 1-й гильдии купца Щеголева,80,2,9,0,0,0
К-о чиновника Пермякина,28,2,0,3,0,0
"К-о купцов Красильникова, Ерлыкова и наследниц Бобкова",50,5,5,0,0,11
К-о княгини Горчаковой и князя Дундукова-Корсакова,95,3,0,6,0,28
"В резиденциях и заведениях золотопромышленников, вне приисков состоящих",796,57,0,8,0,386
Итого в Северной части Енисейского округа,18344,458,927,397,67,2199
Б. В Южной части: Почетных граждан Рязановых,1297,74,69,56,8,289
К-о господ Базилевского и Лопатина,646,31,11,33,6,69
Господ Демидовых,675,28,0,105,30,80
