Сословие,Архангельской,Астраханской,Бесарабской области,Виленской,Витебской,Владимирской,Вологодской,Вонычегодской,Воронежской,Выборгской,Вятской,Гродненской,Екатеринославской
Чиновников и канцелярских служителей,0,0,0,0,0,0,0,0,1,0,0,1,0
Купцов,9,0,0,0,0,6,0,0,0,1,7,0,0
Мещан,13,0,0,0,0,29,24,0,4,3,31,0,2
Цеховых,0,0,0,0,0,0,0,0,0,0,0,0,0
Приписанных к городам,0,0,0,0,0,0,0,0,0,0,0,0,0
Отставных и солдат,0,0,0,0,0,1,1,0,0,0,0,0,0
Свободных хлебопашцев,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестьян а. Государственных,0,0,0,0,0,218,13,4,3,0,108,0,0
Крестьян б. Удельных,0,0,0,0,0,0,0,0,0,0,1,0,1
Крестьян в. Помещичьих,0,0,0,0,0,80,1,0,0,0,0,0,0
Крестьян г. Вольноотпускных,0,0,0,0,0,0,0,0,0,0,1,0,0
Дворовых людей,0,0,0,0,0,1,0,0,0,0,0,0,0
Инородцев,0,0,0,0,0,0,0,0,0,0,1,0,0
Поселенцев,0,0,0,0,0,0,0,0,0,0,0,0,0
