Сословие,Енисейской,Забайкальской области,Иркутской,Кавказской области,Калишской,Калужской,Камчатской области,Киевской,Ковенской,Костромской,Курляндской,Курской,Лифляндской,Минской,Могилевской,Московской,Нижегородской,Новгородской
Чиновников и канцелярских служителей,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
Купцов,30,0,7,0,3,0,0,0,0,0,1,3,0,0,0,1,9,0
Мещан,533,0,220,0,30,1,0,0,0,1,0,1,0,0,2,19,19,1
Цеховых,3,0,19,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Приписанных к городам,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Отставных и солдат,39,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Свободных хлебопашцев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестьян а. Государственных,2450,0,1559,0,20,0,0,0,0,6,0,0,0,0,0,7,609,0
Крестьян б. Удельных,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0
Крестьян в. Помещичьих,2,0,0,0,2,0,0,0,0,8,4,0,0,0,0,1,1410,0
Крестьян г. Вольноотпускных,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Дворовых людей,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Инородцев,144,0,7,0,5,0,0,0,0,0,0,0,0,0,1,1,59,0
Поселенцев,120,0,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
