Сословие,Олонецкой,Оренбургской,Орловской,Пензенской,Пермской,Подольской,Полтавской,Псковской,Рязанской,С.-Петербургской,Саратовской,Самарской,Симбирской
Чиновников и канцелярских служителей,0,0,0,0,0,0,0,0,0,0,0,0,0
Купцов,0,1,0,7,20,0,0,1,5,7,1,0,1
Мещан,0,8,4,13,123,1,0,4,5,5,13,2,0
Цеховых,0,0,0,0,3,0,0,0,0,0,1,0,0
Приписанных к городам,0,0,0,5,39,0,0,0,0,0,0,0,13
Отставных и солдат,0,0,0,1,6,0,0,0,0,0,0,0,0
Свободных хлебопашцев,0,0,0,0,0,0,0,0,0,0,1,0,0
Крестьян а. Государственных,0,8,0,66,93,0,0,1,3,3,1,2,61
Крестьян б. Удельных,0,0,0,3,3,0,0,0,0,0,0,0,29
Крестьян в. Помещичьих,2,2,0,59,154,0,0,1,7,1,3,0,0
Крестьян г. Вольноотпускных,0,1,0,2,2,0,0,0,0,0,0,0,0
Дворовых людей,0,2,0,3,6,0,0,0,0,0,0,0,0
Инородцев,4,0,0,0,1,0,0,0,0,0,0,0,6
Поселенцев,0,0,0,0,0,0,0,0,0,0,0,0,0
Разночинцев,0,0,0,0,0,0,0,0,0,0,0,0,0
