Сословие,Смоленской,Ставропольской,Таврической,Тамбовской,Тверской,Тобольской,Томской,Тульской,Харьковской,Херсонской,Черниговской,Шемахинской,Эстляндской,Якутской области,Ярославской,Без означения губерний
Чиновников и канцелярских служителей,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,40
Купцов,1,0,0,4,1,1,15,1,0,0,0,0,0,0,0,0
Мещан,2,0,0,1,2,291,96,4,0,0,1,0,3,1,3,0
Цеховых,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Приписанных к городам,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Отставных и солдат,0,0,0,0,0,7,8,0,0,0,1,0,0,0,1,65
Свободных хлебопашцев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестьян а. Государственных,1,0,0,12,3,536,2216,1,0,0,0,0,0,0,0,0
Крестьян б. Удельных,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестьян в. Помещичьих,2,0,0,6,1,1,4,1,0,0,0,0,0,0,3,0
Крестьян г. Вольноотпускных,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дворовых людей,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Инородцев,0,0,0,0,0,18,31,12,0,0,0,0,0,0,0,0
Поселенцев,0,0,0,0,0,43,3426,0,0,0,0,0,0,0,0,0
