Принадлежность,Кроватей,Больных_муж,Больных_жен,Выздоровевших_муж,Выздоровевших_жен,Умерших_муж,Умерших_жен
К-о Якобсона и Коробкова на Новопетропавловском,0,12,0,11,0,1,0
К-о купца Гроттена на Михайловском,4,19,0,19,0,0,0
К-о графини Толстой-Перовской на Александровском,4,21,0,20,0,1,0
Коллежского советника Коновалова на Иннокентьевском,0,9,0,9,0,0,0
В разведочной партии купца Токарева,0,7,0,5,0,2,0
В разведочной партии от княгини Трубецкой,0,21,0,19,0,2,0
Итого в Южной части Енисейского округа,370,5197,74,5011,69,186,5
К-о купцов Рязановых (Канский округ),18,140,2,138,2,2,0
Коллежского советника Асташева (Канский округ),5,78,2,75,1,3,1
Господ Оларовского и Бабушкина (Канский округ),6,143,10,142,10,1,0
Купца Ковалевского (Канский округ),8,127,2,126,2,1,0
Купца Бибичева (Канский округ),5,88,0,87,0,1,0
Коллежского асессора Базилевского (Канский округ),7,171,0,171,0,0,0
Надворной советницы Пономаревой (Канский округ),1,143,1,143,0,0,1
Итого в Канском округе,57,890,17,882,15,8,2
К-о купцов Цибульского и Шипилина на Ивановском (Ачинский округ),21,73,0,67,0,6,0
Дарьи Серебренниковой на Николаевском (Ачинский округ),3,15,0,14,0,1,0
Потомственного почетного гражданина Канина на Крестовском (Ачинский округ),0,7,0,6,0,1,0
К-о почетной гражданки Поросенковой на Ильинском (Ачинский округ),3,5,0,4,0,1,0
