Места,Оставалось дел нерешенных к 1 января 1852 г.,Вновь поступило в течение года,Решено в течение года,Осталось к 1 января 1853 г. (За сим местом),Осталось к 1 января 1853 г. (За другими местами),Осталось к 1 января 1853 г. (Итого)
В Сиротских судах: Красноярском,53,6,2,50,7,57
В Сиротских судах: Енисейском,40,2,0,0,41,41
В Словесных судах: Красноярском,0,2,2,0,0,0
В Словесных судах: Енисейском,0,0,0,0,0,0
В Ачинской городовой ратуше,29,49,57,0,21,21
В Окружных судах: Красноярском,45,301,320,0,26,26
В Окружных судах: Енисейском,37,267,246,2,56,58
В Окружных судах: Канском,55,291,294,10,42,52
В Окружных судах: Минусинском,31,389,382,0,38,38
В Окружных судах: Ачинском,20,264,255,7,22,29
В Городовых судах: Красноярском,41,117,128,3,27,30
В Городовых судах: Енисейском,26,144,158,0,12,12
В Земских судах: Красноярском,144,567,529,0,182,182
В Земских судах: Енисейском,86,326,283,1,128,129
В Земских судах: Канском,445,512,744,103,110,213
В Земских судах: Минусинском,180,516,479,10,207,217
В Земских судах: Ачинском,125,478,553,0,50,50
В Окружных казначействах: Красноярском,0,76,76,0,0,0
В Окружных казначействах: Енисейском,0,0,0,0,0,0
В Окружных казначействах: Канском,1,39,38,0,2,2
В Окружных казначействах: Минусинском,0,0,0,0,0,0
В Окружных казначействах: Ачинском,0,47,47,0,0,0
