Места,Осталось неисполненных к 1 января 1852 г.,К 1 января 1853 г. поступило (Требующих производства),К 1 января 1853 г. поступило (Подлежащих к приобщению к делу или к сведению),ИТОГО,Из сего числа исполнено по 1 января 1853 г.,За тем к 1 января 1853 г. осталось неисполненных,Исшедших номеров с 1 января 1852 по 1 января 1853 г.
Канском (Окружном суде),13,1897,1000,1910,1858,52,3525
Минусинском (Окружном суде),17,1378,1304,1395,1366,29,2710
Ачинском (Окружном суде),25,1831,704,1856,1856,0,2637
Городовых судах: Красноярском,0,1175,932,1175,1143,32,2506
Городовых судах: Енисейском,10,1263,834,1273,1253,20,2201
В Земских судах: Красноярском,101,10011,4435,10112,9964,148,17396
В Земских судах: Енисейском,12,7228,5021,7240,7225,15,12472
В Земских судах: Канском,129,9022,7941,9151,9004,147,16475
В Земских судах: Минусинском,45,8091,4750,8136,8086,50,12484
В Земских судах: Ачинском,91,8290,5098,8381,8364,17,13722
Окружных казначействах: Красноярском,84,4623,1577,4707,4679,28,2217
Окружных казначействах: Енисейском,39,2750,418,2789,2752,37,3170
Окружных казначействах: Канском,3,810,365,813,801,12,1444
Окружных казначействах: Минусинском,7,2491,211,2498,2493,5,2806
Окружных казначействах: Ачинском,0,347,387,347,347,0,1116
А всего,3427,179680,74723,183108,179922,3186,259190
