ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1866 г.;1866;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;
2;11 августа 1867 г.;1867-08-11;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;
3;11 августа 1867 г.;1867-08-11;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;
4;2 июля 1867 года;1867-07-02;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;
5;1866 год;1866;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;
6;1866 год;1866;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;
7;1866 г.;1866;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1866 1866;
8;1866 г.;1866;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1866 1866;
9;1865 г.;1865;8 В. Дворянство В;
10;1866 г.;1866;8 В. Дворянство В;
11;1 января 1863 г.;1863-01-01;8 В. Дворянство В;
12;1866 г.;1866;9 Ж. Заводы В;
