id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1866 г.;1866;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;#event_1866_1
2;11 августа 1867 г.;1867-08-11;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;#event_1866_2
3;11 августа 1867 г.;1867-08-11;ДЕЛО ГЛАВНОГО УПРАВЛЕНИЯ ВОСТОЧНОЙ СИБИРИ ОТДЕЛЕНИЕ IV СТОЛ I Отчет о состоянии;#event_1866_3
4;2 июля 1867 года;1867-07-02;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;#event_1866_4
5;1866 год;1866;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;#event_1866_5
6;1866 год;1866;14 июля 11 августа М. В. Д. НАЧАЛЬНИКА ЕНИСЕЙСКОЙ ГУБЕРНИИ ЕНИСЕЙСКИЙ Губернский Cтатистический коми;#event_1866_6
7;1866 г.;1866;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1866 1866;#event_1866_7
8;1866 г.;1866;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1866 1866;#event_1866_8
9;1865 г.;1865;8 В. Дворянство В;#event_1866_9
10;1866 г.;1866;8 В. Дворянство В;#event_1866_10
11;1 января 1863 г.;1863-01-01;8 В. Дворянство В;#event_1866_11
12;1866 г.;1866;9 Ж. Заводы В;#event_1866_12
13;1865 г.;1865;9 Ж. Заводы В;#event_1866_13
14;1866 г.;1866;9 Ж. Заводы В;#event_1866_14
15;1866 г.;1866;9 Ж. Заводы В;#event_1866_15
16;1865 г.;1865;"10 Вынуто песку, кубических сажень:  1-й системы — 156 6761/4;  2-й — 107 9363/4;  3-й — 21 135; ";#event_1866_16
17;1866 г.;1866;11 тем в чашах, на боронах, буторах , важгердтах и на решетках, заимствованных из Американского спос;#event_1866_17
18;1866 г.;1866;13 К прекращению побегов и поимке бежавших приняты надлежащие меры. На промыслах;#event_1866_18
19;1866 г.;1866;13 К прекращению побегов и поимке бежавших приняты надлежащие меры. На промыслах;#event_1866_19
20;1866 г.;1866;"Больных Выздоро- Умерло было вело  1-й системы 876 746 98;  2-й 841 725 104;  3-й 120 113 7;  4-";#event_1866_20
21;1866 г.;1866;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;#event_1866_21
22;1866 г.;1866;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;#event_1866_22
23;1865 г.;1865;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;#event_1866_23
24;1867 г.;1867;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;#event_1866_24
25;1866 г.;1866;17 Главнейшая пристань в губернии находится в;#event_1866_25
26;1866 г.;1866;17 Главнейшая пристань в губернии находится в;#event_1866_26
27;1865 г.;1865;17 Главнейшая пристань в губернии находится в;#event_1866_27
28;1865 г.;1865;17 Главнейшая пристань в губернии находится в;#event_1866_28
29;1866 г.;1866;17 Главнейшая пристань в губернии находится в;#event_1866_29
30;1866 г.;1866;17 Главнейшая пристань в губернии находится в;#event_1866_30
31;1865 г.;1865;17 Главнейшая пристань в губернии находится в;#event_1866_31
32;1852 г.;1852;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;#event_1866_32
33;1866 г.;1866;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;#event_1866_33
34;1866 г.;1866;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;#event_1866_34
35;1866 г.;1866;19 хлебопашество у инородцев начинает мало-помалу увеличиваться, и быт начавших заниматься земледели;#event_1866_35
36;1865 г.;1865;19 хлебопашество у инородцев начинает мало-помалу увеличиваться, и быт начавших заниматься земледели;#event_1866_36
37;1866 г.;1866;20 Сверх того, в губернии водится и пчеловодство. В течение;#event_1866_37
38;1865 г.;1865;20 Сверх того, в губернии водится и пчеловодство. В течение;#event_1866_38
39;1866 г.;1866;20 Сверх того, в губернии водится и пчеловодство. В течение;#event_1866_39
40;1866 г.;1866;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;#event_1866_40
41;1865 г.;1865;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;#event_1866_41
42;1866 г.;1866;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;#event_1866_42
43;1866 г.;1866;22 В;#event_1866_43
44;1866 г.;1866;22 В;#event_1866_44
45;1866 г.;1866;22 В;#event_1866_45
46;1868 г.;1868;23 С 78 421 души разного звания податного сословия следовало 316 рекрутов, прием которых производилс;#event_1866_46
47;1868 г.;1868;23 С 78 421 души разного звания податного сословия следовало 316 рекрутов, прием которых производилс;#event_1866_47
48;1865 г.;1865;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_48
49;1867 г.;1867;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_49
50;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_50
51;7 января 1863 г.;1863-01-07;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_51
52;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_52
53;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_53
54;11 июля 1863 г.;1863-07-11;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_54
55;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_55
56;1866 г.;1866;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_56
57;7 февраля 1861 г.;1861-02-07;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_57
58;20 января 1865 г.;1865-01-20;24 Д. Городские доходы Доходы и расходы городов против;#event_1866_58
59;1866 г.;1866;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;#event_1866_59
60;24 августа 1866 г.;1866-08-24;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;#event_1866_60
61;17 января 1866 г.;1866-01-17;25 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВОIII. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО А. Казенные здания В губернии ;#event_1866_61
62;1866 г.;1866;26 В. Почта Почтовых станций в;#event_1866_62
63;1866 г.;1866;26 В. Почта Почтовых станций в;#event_1866_63
64;1866 г.;1866;26 В. Почта Почтовых станций в;#event_1866_64
65;1865 г.;1865;26 В. Почта Почтовых станций в;#event_1866_65
66;1866 г.;1866;26 В. Почта Почтовых станций в;#event_1866_66
67;1865 г.;1865;26 В. Почта Почтовых станций в;#event_1866_67
68;1866 г.;1866;26 В. Почта Почтовых станций в;#event_1866_68
69;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;#event_1866_69
70;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;#event_1866_70
71;1866 г.;1866;27 57 116 душ, и перечисленные в казаки штрафованные нижние чины, влияние последних чрезвычайно пагу;#event_1866_71
72;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";#event_1866_72
73;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";#event_1866_73
74;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";#event_1866_74
75;1866 г.;1866;"29  пенсионом — 8;  находятся на казенном содержании — 59;  у родственников — 336. Всего: 1 782. ";#event_1866_75
76;1862 г.;1862;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_76
77;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_77
78;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_78
79;1864 г.;1864;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_79
80;1866 г.;1866;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_80
81;9 декабря 1865 г.;1865-12-09;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_81
82;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_82
83;1 февраля 1866 г.;1866-02-01;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_83
84;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_84
85;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_85
86;1866 г.;1866;32 В том числе:  в губернском;#event_1866_86
87;1866 г.;1866;32 В том числе:  в губернском;#event_1866_87
88;1866 г.;1866;32 В том числе:  в губернском;#event_1866_88
89;1866 г.;1866;32 В том числе:  в губернском;#event_1866_89
90;1865 г.;1865;32 В том числе:  в губернском;#event_1866_90
